zpid,latest_salemonth,latest_saleyear
111371886,10,2018
29368581,6,2020
83124867,11,2019
70992361,6,2020
80104386,4,2018
63835340,8,2018
29357366,8,2019
29372930,2,2020
29368548,6,2019
67415405,7,2018
29353930,5,2018
88019360,5,2019
29459839,6,2020
29363429,7,2019
80104364,4,2018
249891249,12,2020
29368546,11,2020
63835337,9,2019
29566857,9,2018
111372714,1,2021
29376426,1,2020
29363428,8,2020
29342404,6,2019
29368532,8,2018
29459837,12,2020
58298927,4,2018
29396879,2,2020
29368531,3,2020
29343391,7,2019
70352403,2,2018
29375925,7,2020
80104481,10,2019
2079519189,10,2020
29363427,8,2018
70992349,8,2019
249891244,12,2020
29341389,8,2019
90240400,6,2018
29395366,12,2020
88023347,6,2020
251034742,12,2019
58298426,9,2019
29348387,5,2020
29368530,6,2018
111372365,9,2018
111973229,10,2019
70992346,3,2020
89550899,3,2020
29344884,8,2018
29374423,4,2020
29368568,12,2020
241931861,8,2018
121657728,6,2018
29358926,11,2020
249891240,6,2020
55299492,12,2019
80104336,7,2019
70352400,6,2018
29341382,3,2018
29374422,5,2020
70992345,4,2018
83818357,7,2020
29462725,5,2019
29351423,3,2020
29461328,6,2019
29340878,4,2019
55299490,10,2019
70352399,7,2018
29395357,9,2019
29462724,10,2018
29372422,7,2020
29340875,9,2018
29368517,9,2019
83823333,5,2018
145657233,4,2020
55299488,6,2020
70992340,7,2020
70345723,5,2020
70336899,10,2020
83833421,5,2019
70335832,5,2018
29370422,2,2018
125750185,12,2020
70992341,9,2019
145656729,9,2020
2077718915,11,2020
70348219,12,2020
88023921,9,2019
251033728,12,2019
70992334,3,2018
80093353,4,2018
29459824,11,2019
29346897,6,2019
29340866,3,2019
64543920,2,2020
202152984,3,2020
70992331,3,2019
29368502,9,2020
111372345,10,2020
29351415,10,2018
29342397,10,2018
241938219,4,2019
29344861,7,2020
29368420,11,2018
29368500,7,2019
80084981,9,2020
70326844,3,2020
29351414,6,2019
70336895,11,2020
70345711,7,2018
70992322,6,2019
145658498,8,2018
145655717,7,2019
29360913,5,2018
64696895,4,2019
185217321,7,2018
70345708,5,2018
29377417,8,2020
83124822,9,2020
84138980,11,2019
83824836,7,2019
2088560215,10,2018
29363410,7,2020
2099325819,10,2020
70352394,7,2019
29462708,8,2018
29344853,8,2018
83815821,1,2020
64640832,10,2018
29461309,2,2020
55299479,10,2018
29375915,8,2019
70336894,7,2020
29344851,8,2019
29351909,5,2020
29439010,11,2020
111371325,7,2019
28594363,12,2020
29461308,8,2019
124843201,5,2020
60138195,5,2019
111969317,7,2020
29370415,5,2018
120895893,2,2018
80094819,3,2018
111372822,1,2020
29471186,11,2018
29459807,3,2019
119620477,10,2020
29372913,12,2019
70992316,5,2020
58297966,2,2019
29351905,9,2020
83817317,5,2020
70352389,11,2020
29372413,8,2020
29344839,9,2020
119620476,9,2020
29462690,4,2020
70992306,7,2019
29351902,7,2020
80106317,5,2018
29459805,6,2018
29343832,12,2020
29375911,1,2019
55299476,4,2019
29470178,6,2020
29464189,2,2020
29395310,11,2020
58298400,4,2018
79981802,5,2020
29342388,5,2019
29375910,6,2018
111372812,6,2019
145658177,12,2018
29464187,7,2018
29344833,3,2020
83816303,3,2020
29353898,7,2020
70336887,11,2018
58300408,3,2020
29361809,12,2018
29343331,3,2019
58298397,2,2020
89552800,1,2019
29565906,11,2020
29462679,8,2020
121656827,5,2019
202161475,10,2020
29353897,4,2019
29372406,7,2019
124149797,12,2019
70345678,2,2019
120896822,12,2018
29395301,10,2019
58298396,10,2019
58300404,6,2018
60136380,2,2019
111370793,8,2019
80079467,6,2018
29396799,9,2020
29363396,6,2020
251036659,9,2019
29372402,7,2018
116080293,6,2018
120898376,7,2019
70345672,8,2018
29344810,7,2019
80107289,11,2018
29395299,7,2019
145655653,10,2018
29376401,4,2020
83830871,8,2020
145656091,5,2020
89548288,6,2019
29351394,8,2018
29385797,4,2020
111961964,9,2020
241933147,3,2020
120896481,9,2020
29342304,11,2019
29358887,7,2018
241934796,2,2020
88027789,6,2018
243293463,7,2020
70345662,12,2018
241930792,5,2020
29372400,9,2018
70333788,5,2019
29351383,12,2018
89550796,6,2019
111968786,6,2018
241933142,9,2020
70323862,11,2019
124837787,12,2020
29370399,8,2020
70352281,10,2020
64634789,5,2018
89651286,4,2018
122187957,2,2020
29462476,7,2020
60136362,7,2019
2094867139,4,2020
29336282,9,2020
29370396,9,2020
83822780,2,2020
121656881,3,2019
64842284,6,2019
2086373955,5,2019
70345631,11,2019
251034137,3,2020
29368396,2,2018
114157955,8,2019
29351381,1,2019
64578358,6,2018
125808623,9,2018
125887777,6,2019
119629454,4,2020
29351880,4,2018
125934135,7,2019
70992278,9,2019
29374395,2,2018
29395269,1,2020
69811276,7,2020
2098913275,10,2019
29353878,5,2018
250405453,7,2020
70352355,2,2020
125090634,3,2018
29344769,3,2020
70352275,8,2019
83829268,5,2019
29351378,5,2019
94882853,12,2019
70345600,10,2019
70992273,3,2018
70352265,5,2018
29377392,6,2019
83820767,5,2020
29361760,2,2020
29338353,8,2020
114156945,2,2019
251030597,2,2019
70352264,9,2020
29370392,4,2019
125739266,11,2020
29351873,1,2020
64658848,2,2019
185217270,3,2019
29462580,1,2019
58300391,5,2020
124839095,12,2020
63751762,8,2020
83830766,2,2019
29342348,9,2019
29353871,7,2019
89547757,11,2019
88021769,9,2018
83822444,9,2020
125805573,3,2019
2084748889,2,2020
29336264,5,2019
29395261,3,2018
29353870,2,2019
241930760,6,2018
29342345,4,2019
88027768,7,2018
202153443,3,2020
29353869,10,2018
29375888,8,2018
64743260,8,2020
89556257,7,2018
145656114,3,2018
111372751,7,2020
29351365,6,2019
83124840,7,2020
119618443,4,2020
70337262,10,2019
29374385,2,2018
2079962106,7,2020
29361751,5,2018
145653363,11,2018
83819259,11,2019
114156943,6,2020
29375883,1,2019
83123966,2,2019
145551605,7,2018
241937749,10,2019
243334255,5,2019
29336839,7,2020
64916752,4,2020
29372883,12,2018
29359361,6,2019
241930604,9,2019
29376382,3,2020
89552498,5,2019
29343838,8,2020
83123860,3,2020
70337257,10,2018
145551603,12,2020
89548938,8,2018
241937747,5,2020
29361742,3,2020
29462554,2,2018
2090437934,6,2018
29372882,3,2018
29361741,10,2019
125803744,7,2018
2142047553,2,2019
121720751,8,2020
29351860,7,2020
145551602,1,2019
121655881,5,2019
70352247,10,2019
303838934,9,2020
83123738,11,2018
58298859,5,2019
111371244,2,2020
83828738,10,2020
58300380,2,2018
29336834,5,2020
145657101,6,2020
89661246,7,2018
251032231,7,2019
202153434,9,2019
29375880,1,2020
29395244,4,2018
70352245,9,2018
83832236,6,2018
58298858,10,2019
124720093,6,2019
125330933,1,2018
29370379,7,2020
80095730,7,2019
29358857,6,2019
29361735,8,2018
64434238,7,2018
145655592,4,2020
83124833,12,2019
70352240,8,2018
2084748878,11,2020
29363350,3,2019
64632734,6,2018
29395234,10,2020
89825703,12,2020
125230931,7,2019
70323829,9,2019
29363349,6,2020
29354234,12,2020
111371731,2,2018
29344738,2,2019
88020731,7,2020
2083228723,9,2019
29372878,6,2020
83822733,5,2018
124719589,5,2018
70352237,4,2019
111372723,6,2018
121722729,4,2020
29390723,9,2020
2090710344,7,2018
111965924,10,2020
120895826,11,2019
58300374,11,2019
83831720,4,2020
29554229,9,2020
29361730,4,2018
29351336,6,2018
2120767423,7,2020
29376374,3,2018
243336223,6,2019
70352228,8,2018
114406373,2,2020
29336824,6,2019
29469515,12,2020
89663718,9,2020
111372213,10,2020
58300371,6,2018
29363331,12,2019
29344726,10,2018
251036578,10,2019
83124823,10,2018
88016214,3,2020
29351824,6,2020
29342225,4,2018
64698200,11,2020
83817227,6,2019
29554214,12,2020
29334589,1,2021
58301197,5,2018
145657207,7,2018
111965420,2,2018
89459969,5,2019
80101727,5,2020
29363323,8,2019
89657213,8,2019
145656704,5,2019
29336820,5,2019
28591920,12,2018
64482227,3,2020
29375867,3,2020
58298822,7,2020
2090138075,9,2018
125746319,5,2019
83829692,7,2020
242020199,5,2020
2088160918,9,2020
29343473,10,2018
83826719,1,2019
29368367,8,2018
119811212,4,2018
29355996,4,2018
83826317,6,2020
125234417,3,2020
29375866,2,2019
83821706,12,2018
145655493,5,2019
70348211,5,2020
29351820,6,2020
119621415,9,2020
29343816,1,2018
64857865,6,2018
70352206,6,2020
29336816,10,2018
89550915,11,2019
80104819,8,2019
29374365,8,2020
249913071,7,2020
70352478,6,2018
29336815,12,2019
243338197,9,2020
60135188,8,2019
29370363,4,2019
124904977,4,2018
83830318,9,2020
29342206,12,2018
29343813,3,2019
80081913,11,2019
83828998,2,2019
89656195,7,2019
2102202682,5,2018
29550362,11,2019
83124812,8,2019
29342202,9,2020
119629407,8,2018
70352477,10,2020
29344698,7,2019
29334477,12,2020
29351312,12,2018
80097164,8,2018
70352696,7,2020
303836956,4,2020
29588860,9,2019
58297811,6,2019
58298811,11,2018
120088690,8,2019
122188902,2,2018
60138180,5,2018
29375859,9,2019
29336811,5,2020
29342191,6,2019
80101310,7,2020
83829191,11,2020
241933065,5,2020
2083627357,9,2020
83124810,4,2019
96635187,6,2019
29344687,12,2018
60135174,7,2020
29363309,9,2019
111719175,9,2019
83124842,11,2020
29375856,7,2019
111719174,6,2020
29370356,9,2019
58297810,6,2018
83821658,2,2020
29363305,12,2018
241933063,3,2020
121724673,2,2020
89549186,8,2020
29342183,6,2020
29346810,1,2020
83823656,3,2019
29372855,11,2018
29363376,4,2020
60138171,5,2020
29343809,10,2019
125232898,5,2019
89546185,5,2018
111373149,10,2019
58298795,5,2019
29368353,10,2020
96587820,12,2020
29344674,2,2018
29336809,7,2019
96642672,5,2018
29351295,10,2019
60135169,6,2018
125915673,3,2020
29336807,11,2019
145658850,12,2020
306647642,10,2020
60135161,12,2018
29566850,6,2018
29343802,10,2018
63834670,7,2019
83817142,7,2020
119621889,5,2019
2089111155,7,2018
58298794,3,2019
89549801,7,2018
120772669,3,2020
83824373,10,2020
111962388,7,2019
60138154,3,2019
29374411,7,2018
241933053,4,2018
29356288,7,2020
120772665,6,2020
80077386,5,2020
64812633,11,2020
83813675,1,2018
83828801,10,2018
241933052,8,2019
63834666,7,2018
88021164,3,2018
243293382,10,2019
70352673,8,2018
29363284,8,2018
70326632,11,2020
58300345,11,2020
121657157,4,2020
121723161,5,2019
70324280,4,2018
243292382,9,2020
83815370,9,2018
60138151,4,2020
29351779,4,2018
29374345,5,2019
83818169,6,2018
241931382,10,2018
80105149,11,2018
29336798,4,2019
29343476,6,2019
2085531276,5,2019
88018155,5,2020
29372345,10,2020
251035046,5,2020
119628882,7,2018
89548796,6,2018
111372118,10,2019
69812646,11,2019
249889651,1,2021
29363276,6,2018
83830666,8,2018
124719545,3,2020
60138138,5,2018
83829118,6,2020
89658646,7,2018
83830146,4,2020
80084882,7,2018
29368345,10,2019
29351768,1,2020
70352657,11,2018
83824117,3,2018
83830640,10,2020
29375843,11,2018
121720638,5,2019
29346792,10,2020
111962880,5,2018
58298766,7,2019
29390614,4,2019
124843624,7,2018
29344640,6,2019
29374343,4,2018
83817288,3,2019
96632633,1,2019
111372610,6,2020
29351764,12,2018
29344625,2,2019
29375841,12,2018
63357118,6,2019
64760786,10,2018
29363263,6,2018
58298151,7,2020
29374341,6,2019
241933036,8,2020
70344611,3,2018
29355995,9,2018
145656536,1,2019
29368341,5,2019
79980150,7,2019
29346617,8,2020
89547475,11,2019
70344601,5,2019
88026632,4,2019
83821607,9,2018
58298762,7,2020
145655490,10,2020
29346478,6,2018
29376486,10,2018
58298150,8,2020
145658599,10,2018
120900784,10,2018
241931375,5,2019
111373603,9,2018
241933033,4,2020
29351759,1,2019
29376340,6,2019
125918097,11,2020
94641643,7,2018
29370338,3,2018
29343783,10,2019
70326602,7,2019
70324757,4,2020
29346606,2,2020
29459997,6,2020
80076874,8,2020
121722127,4,2019
58300337,4,2019
251035529,9,2019
80076872,9,2018
29346603,4,2018
88026125,9,2020
145652601,4,2019
124839587,8,2018
29356252,6,2019
251028524,12,2020
29566837,10,2020
88016124,9,2020
64622273,8,2020
83819142,6,2018
29372336,6,2019
29344597,2,2019
111371135,12,2019
29336773,12,2018
111970996,5,2018
251034526,7,2020
124838251,10,2019
70344587,7,2019
2078422772,10,2020
29344594,7,2018
70326592,3,2018
145656025,12,2020
70344584,6,2018
70352630,2,2020
29343489,8,2018
83813088,8,2020
70344583,6,2020
145657523,12,2018
88022108,8,2019
29350246,7,2020
29346771,9,2020
125903592,5,2019
70352622,7,2020
29377332,6,2020
83833584,1,2019
29346588,4,2019
29377331,2,2019
29356245,6,2019
241933019,10,2019
125806578,2,2019
29344587,2,2018
64872828,3,2018
80092865,7,2019
2080873074,3,2020
70326582,11,2020
29350245,4,2019
124720518,1,2020
70344565,2,2019
29372826,8,2018
80075865,1,2019
29351495,7,2020
29345264,7,2020
70344560,4,2019
70326578,2,2020
29372825,11,2019
28593363,12,2019
96634093,6,2020
29347495,5,2018
83821258,5,2019
121655053,9,2018
29372821,6,2019
243292362,4,2020
29361232,12,2019
29346757,4,2018
2082574040,11,2019
111371572,4,2020
29356731,2,2020
96637819,4,2018
29343756,7,2019
2142506230,9,2018
119622361,8,2019
80093540,1,2019
64517755,12,2018
88016575,12,2018
29375817,12,2019
