streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
3409 Etheredge Dr,2004,17,1892,3,3.0
904 Lakewood Hills Ter,2007,14,4558,5,5.0
8004 Annalise Dr,2016,5,2095,3,2.0
10711 Twisted Elm Dr,2016,5,2623,4,3.0
13815 Lake View Dr,1987,34,1947,2,2.0
11700 Running Brush Cv,2008,13,2192,3,2.0
11108 Sandstone Trl,2001,20,3352,5,3.0
5512 Catsby Ct,2004,17,1268,3,2.0
1008 Lakewood Hills Ter,2009,12,4867,4,4.0
5600 Signal Point,1980,41,1306,3,2.0
13308 Bennington Ln,1993,28,2398,4,3.0
8232 Phantom Canyon Dr,2001,20,4274,4,4.0
4515 Credo Ln,2010,11,1372,3,3.0
11015 Conchos Cv,1999,22,3695,4,4.0
7005 Juneberry Cv,1983,38,2448,4,2.0
4517 Senda Ln #181,2013,8,1250,2,3.0
12104 Montclair Bnd,2009,12,3485,5,4.0
8917 Sun Shower Bnd,2006,15,1526,3,2.0
7313 Coit Rd,2017,4,2124,3,2.0
10300 Echoridge Dr,1992,29,2965,4,3.0
11616 Running Brush Ln,2008,13,3205,5,4.0
5917 Florencia Ln,2018,3,2403,3,3.0
8104 Sebastapol Cv,2001,20,3939,5,4.0
9205 Springwood Dr,1976,45,2116,3,3.0
14024 Abervil Trl,2013,8,3409,4,3.0
9104 Westminster Glen Ave,1998,23,3848,5,4.0
4604 Fallenash Dr,1987,34,1786,4,2.0
7112 Sentry Path,2018,3,2289,3,3.0
13800 Lake View Dr,1975,46,596,2,1.0
12000 Garden Gate Dr,1983,38,1554,4,2.0
5209 English Glade Dr,2007,14,1704,3,2.0
11136 Rio Vista Dr,1996,25,2852,3,3.0
3006 Crownover St,2005,16,2088,4,3.0
15101 Chamberlain Ct,2005,16,1206,3,2.0
7709 Jester Blvd,1988,33,3119,4,3.0
15421 Staked Plains Loop,2008,13,2191,3,2.0
5723 Sendero Hills Pkwy,2003,18,1160,3,2.0
7305 Van Ness St,2018,3,2420,4,3.0
4606 Fallenash Dr,1987,34,2094,4,3.0
2321 Kale Dr,2010,11,1096,3,2.0
13827 Camp Comfort Ln,2016,5,2425,3,3.0
5710 Signal Point,1980,41,1320,3,2.0
9100 Westminster Glen Ave,1999,22,4878,5,5.0
11508 Champion Dr,1972,49,2873,4,3.0
15201 Knighten Ln,2014,7,1652,3,2.0
7817 Bestride Bnd,2019,2,2501,4,3.0
13016 Hymeadow Cir,2012,9,2406,3,2.0
5716 Signal Point,1980,41,1306,3,2.0
13221 Country Trails Ln,2006,15,4362,4,4.0
8110 Castle Peake Trl,1989,32,1540,3,2.0
6711 Lakewood Point Cv,1990,31,2463,3,3.0
9209 Springwood Dr,1995,26,2454,3,3.0
12205 Wickline Way,2016,5,1968,3,2.0
5405 Bonneville Bnd,2015,6,1821,3,2.0
1307 Minnie Dr,1986,35,1848,2,2.0
8107 Castle Peake Trl,1989,32,2218,3,2.0
3324 Pearce Rd,2007,14,3371,4,4.0
5700 Scout Blf,1983,38,1555,3,2.0
9402 Caracas Dr,1994,27,2647,4,3.0
9804 Brandywine Cir,1976,45,2373,4,3.0
5305 Ingersoll Ln,2015,6,1914,3,3.0
2917 Caleb Dr,2005,16,2088,4,3.0
8108 Davis Mountain Pass,1991,30,1861,3,2.0
6309 Huntleigh Way,1971,50,1567,4,2.0
4504 Halliday Ave,2012,9,1344,3,2.0
9400 Caracas Dr,1994,27,2410,4,3.0
11502 Sawatch Cir,1983,38,3227,5,4.0
1403 Minnie Dr,1982,39,704,1,1.0
10821 Ballard Path,2016,5,3329,4,5.0
5100 Ingersoll Ln,2015,6,2068,4,3.0
12505 Presque Cv,2001,20,3304,4,4.0
5516 Nelson Oaks Dr,2013,8,1670,3,2.0
3503 Riva Ridge Rd,1983,38,2665,3,3.0
1406 Mesa Ridge Ln,2001,20,4021,4,4.0
10208 Peekston Dr,2004,17,3559,4,4.0
7866 Lakewood Dr,1985,36,2357,3,2.5
