streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
201 Open Sky Rd,2007,14,2832,4,3.0
397 Emma Loop,2013,8,2645,4,3.0
16208 Crystal Hills Dr,2001,20,3544,5,4.0
16204 Crystal Hills Dr,1985,36,2054,3,2.0
7008 Mitra Dr,2011,10,4685,5,5.0
565 Emma Loop,2014,7,3342,4,3.0
1548 Grassy Field Rd,2009,12,4161,4,4.0
364 Sand Hills Ln,2015,6,3100,4,4.0
402 Sand Hills Ln,2015,6,3024,4,4.0
426 Sand Hills Ln,2015,6,3780,5,4.0
474 Sand Hills Ln,2015,6,2788,3,4.0
486 Sand Hills Ln,2015,6,3365,4,5.0
332 Dry Creek Rd,2008,13,2273,3,2.0
16904 Crystal Caves Rd,2016,5,3584,4,4.0
198 Willow Walk Cv,2013,8,1800,3,2.0
123 Denise Cv,2015,6,3153,4,3.0
7016 Mitra Dr,2012,9,4477,5,5.0
278 Swallowtail Dr,2013,8,3547,5,4.0
16502 Goldenwood Way,1985,36,2203,3,2.0
731 Catalina Ln,2016,5,2898,4,3.0
16604 Rivendell Ln,1989,32,2549,3,3.0
741 Catalina Ln,2016,5,3247,4,3.0
6405 Trissino Dr,2014,7,3731,4,4.0
1763 Cool Spring Way,2017,4,3059,4,3.0
9911 Wildwood Hills Ln,1990,31,2200,3,2.0
673 Merion Dr,2015,6,3775,4,4.0
910 Wild Rose Dr,2014,7,2095,4,2.0
12305 Buvana Dr,2010,11,3803,5,5.0
415 Sand Hills Ln,2015,6,3128,4,3.0
16101 Crystal Hills Dr,2008,13,3420,3,3.0
14034 Robins Run,1995,26,2140,3,3.0
12300 Buvana Dr,2008,13,3800,5,4.0
119 Tanager Cir,2006,15,4503,4,4.0
1586 Grassy Field Rd,2010,11,4253,4,5.0
219 Clear Pond Cv,2006,15,3813,5,4.0
196 Stoney Point Rd,2012,9,3168,4,4.0
221 Saddleback Rd,2006,15,3345,4,4.0
1209 Grassy Field Rd,2014,7,4583,5,5.0
1110 Kemp Hills Dr,2000,21,2667,3,3.0
12801 Cricoli Dr,2015,6,4025,5,4.0
6617 Mitra Dr,2013,8,4156,5,5.0
275 Winecup Way,2006,15,2879,4,3.0
12825 Cricoli Dr,2014,7,4347,5,5.0
128 Whispering Wind Way,2009,12,2326,3,2.0
7000 Mitra Dr,2011,10,4082,5,5.0
425 Merion Dr,2016,5,2901,4,4.0
138 Tanager Cir,2006,15,4518,4,4.0
12521 Javea Dr,2015,6,2606,4,3.0
250 Saddleback Rd,2006,15,2843,4,3.0
435 Sand Hills Ln,2016,5,3500,5,4.0
6808 Vitruvius Dr,2015,6,2925,4,4.0
6813 Serlio Dr,2014,7,3006,4,4.0
662 Merion Dr,2016,5,3083,4,3.0
12517 Javea Dr,2015,6,1915,3,2.0
6721 Mitra Dr,2010,11,3938,4,4.0
13301 Crystal Way,1999,22,3422,5,5.0
581 Wild Rose Dr,2011,10,3037,4,3.0
528 Merion Dr,2016,5,3536,5,6.0
6812 Teulada Dr,2014,7,2909,4,4.0
13409 Crystal Way,2007,14,3019,3,4.0
13419 Crystal Way,2000,21,3013,4,3.0
1410 Kemp Hills Dr,1999,22,3121,4,4.0
7119 Calpe Dr,2015,6,2909,5,4.0
401 Jacksdaw Dr,2018,3,2929,4,3.0
2959 Reunion Blvd,2018,3,3480,4,4.0
12709 Mundomar Dr,2016,5,4030,4,4.0
1610 Kemp Hills Dr,2000,21,3589,4,4.0
146 Big Meadow Rd,2017,4,3327,4,3.0
1566 Grassy Field Rd,2011,10,2927,4,3.0
373 Wild Rose Dr,2012,9,3261,4,3.0
606 Merion Dr,2014,7,3294,5,4.0
15601 Fox Run Dr,1996,25,1948,3,2.0
197 Winecup Way,2006,15,2739,4,3.0
15515 Fox Run Dr,2001,20,2236,3,2.0
332 Open Sky Rd,2007,14,4161,4,4.0
327 Country Creek Dr,2007,14,2964,4,3.0
514 Merion Dr,2014,7,3298,4,5.0
375 Whispering Wind Way,2013,8,3571,5,4.0
6802 Rio Bravo Ln,1988,33,1940,3,2.0
737 Wild Rose Dr,2014,7,2574,3,4.0
185 Stone River Dr,2014,7,2753,4,3.0
167 Dry Creek Rd,2007,14,2536,3,3.0
317 Winecup Way,2006,15,3236,4,4.0
6803 Rio Bravo Ln,1997,24,2073,3,2.0
683 Emma Loop,2015,6,4016,4,4.0
907 Kemp Hills Dr,1999,22,2048,3,2.0
647 Emma Loop,2015,6,2867,4,3.0
901 Kemp Hills Dr,1997,24,2056,3,2.0
143 Goodwater Ct,2012,9,2871,4,4.0
129 Wild Turkey Cv,2007,14,2964,5,3.0
593 Emma Loop,2015,6,3265,4,4.0
6806 Cactus Xing,1999,22,2012,3,2.0
667 Emma Loop,2015,6,2909,3,3.0
905 Texas Trl,1986,35,1700,3,3.0
817 Texas Trl,1987,34,2621,4,2.0
7800 Orisha Dr,2015,6,4021,4,5.0
572 Whispering Wind Way,2013,8,3565,4,4.0
220 Running Water Way,2018,3,4636,5,6.0
219 Honey Bee Ln,2017,4,3681,4,4.0
12608 Cricoli Dr,2015,6,2909,5,4.0
145 Open Sky Rd,2007,14,3857,5,4.0
150 Courtland Cir,2008,13,2990,4,4.0
6712 Serlio Dr,2015,6,1673,3,2.0
539 Stone River Dr,2018,3,3452,4,5.0
290 Mary Elise Way,2016,5,2929,4,3.0
12708 Veronese Dr,2018,3,3795,5,4.0
557 Merion Dr,2014,7,2882,4,4.0
204 Mary Elise Way,2016,5,3104,3,3.0
12315 Mesa Verde Dr,2019,2,2580,3,4.0
344 Jayne Cv,2015,6,3399,4,3.0
200 Clear Pond Cv,2006,15,4153,4,5.0
349 Mary Elise Way,2016,5,3100,4,4.0
266 Dry Creek Rd,2008,13,2964,4,3.0
182 Running Water Way,2007,14,3508,3,4.0
174 Big Meadow Rd,2017,4,3398,5,4.0
411 Merion Dr,2013,8,3345,5,5.0
689 Wild Rose Dr,2013,8,2655,4,3.0
15509 Fox Run Dr,2005,16,2167,4,2.0
410 Mary Elise Way,2015,6,3085,4,4.0
12713 Cricoli Dr,2014,7,4386,5,5.0
163 Dry Run Cir,2013,8,2481,3,2.0
12608 Javea Dr,2017,4,2909,4,4.0
377 Jacksdaw Dr,2016,5,3431,4,3.0
6716 Teulada Dr,2014,7,2537,4,3.0
187 Raindance Cv,2010,11,2326,3,2.0
7016 Calpe Dr,2017,4,2573,4,4.0
19 Concord Cir,1985,36,1212,3,2.0
519 Wild Rose Dr,2011,10,2973,4,3.0
178 Winecup Way,2006,15,2814,4,3.0
136 Mountain Laurel Way,2006,15,2843,4,3.0
345 Whispering Wind Way,2012,9,2886,4,4.0
9001 Glenlake Dr,1990,31,2934,5,4.0
6504 Cuesta Trl,1990,31,3649,5,5.0
8148 Jester Blvd,1995,26,3242,4,3.0
9100 Bluegrass Dr,1992,29,3874,4,6.0
8121 Bottlebrush Dr,1998,23,4783,6,5.0
6100 Chictora Cv,1994,27,2978,4,3.0
6016 Chictora Cv,1995,26,3367,5,4.0
6201 Maurys Trl,1993,28,3400,3,3.0
8537 Adirondack Trl,1994,27,2261,4,4.0
8101 Chardonnay Cv,1995,26,3604,5,4.0
5727 Misty Hill Cv,1984,37,2278,3,2.0
7893 Lakewood Dr,1988,33,2374,4,3.0
4932 China Garden Dr,1997,24,2513,3,3.0
9500 Bluegrass Dr,1994,27,2379,3,3.0
9601 Rainlilly Ln,2003,18,4674,5,5.0
10012 Scull Creek Dr,1995,26,2546,4,3.0
8510 Appalachian Dr,1973,48,2854,3,3.0
10026 Planters Woods Dr,1997,24,3164,4,4.0
5714 Misty Hill Cv,1992,29,2361,3,3.0
10018 Planters Woods Dr,1996,25,2862,3,3.0
9300 Simmons Rd,1994,27,3368,4,3.0
10000 Planters Woods Dr,1998,23,3500,4,3.0
8831 Mountain Path Cir,1976,45,2797,4,3.0
7306 Holly Fern Cv,1990,31,2196,4,2.0
5650 Rain Creek Pkwy,1999,22,3670,4,4.0
7405 Fern Cv,1997,24,3252,4,3.0
8827 Mountain Path Cir,1972,49,2112,4,2.0
8024 Bottlebrush Dr,1995,26,2428,4,3.0
5700 Raindrop Cv,1999,22,3202,3,4.0
7405 Filbert Cv,1988,33,3429,4,4.0
9325 Simmons Rd,1997,24,3060,4,3.0
8320 Adirondack Trl,1993,28,2687,4,2.5
11006 Cut Plains Loop,2015,6,2154,4,2.0
8322 Adirondack Trl,1980,41,2381,3,2.0
8324 Adirondack Trl,1980,41,1907,3,2.0
3709 Weatherhill Cv,1998,23,3250,4,3.0
8424 Adirondack Trl,1974,47,2400,4,3.0
8502 Walhill Cv,1979,42,3515,4,4.0
3808 Turkey Creek Dr,1984,37,3055,5,3.0
9300 Knoll Crest Loop,1984,37,2495,3,3.0
8600 Bell Mountain Dr,1986,35,3697,4,3.0
6405 Deer Hollow Ln,1992,29,2825,4,3.0
7508 Colina Vista Loop #A,2013,8,2518,4,4.0
8832 Mountain Path Cir,1972,49,1788,3,2.0
9704 Sophora Cv,2003,18,3359,4,4.0
8515 Adirondack Trl,1976,45,2321,4,3.0
7716 Waldon Dr UNIT F,1997,24,2496,4,3.0
5405 Musket Rdg,1981,40,3057,4,3.0
6701 Cuesta Trl,1993,28,3396,4,4.0
8602 Alverstone Way,1977,44,2489,4,3.0
6601 Cuesta Trl,1991,30,4065,5,5.0
9703 Sophora Cv,1990,31,4083,4,5.0
7719 Waldon Dr,1998,23,2665,4,3.0
8615 Alverstone Way,1977,44,2147,3,3.0
6605 Delmonico Dr,1987,34,2629,3,3.0
6609 Serena Cv,1984,37,2437,3,3.0
8603 Appalachian Dr,1976,45,2294,3,2.0
9300 Glenlake Dr,1984,37,2487,3,3.0
8603 White Cliff Dr,1979,42,2454,4,3.0
7103 Anaqua Dr,1985,36,2391,4,2.0
6504 Deer Hollow Ln,1992,29,2620,4,3.0
8505 White Cliff Dr,1993,28,2878,4,3.0
8901 Bluegrass Dr,1987,34,2852,3,3.0
8104 Bell Mountain Dr,1993,28,3115,3,3.0
6000-18 Shepherd Mountain Cv #1812,1992,29,608,1,1.0
8540 Adirondack Trl APT 17,2005,16,2214,3,2.5
9401 Westminster Glen Ave,2000,21,4178,4,4.0
4003 Turkey Creek Dr,1991,30,2952,4,3.0
5400 Rain Creek Pkwy,1984,37,2319,3,3.0
8913 Mount Bartlett Dr,1984,37,2067,3,3.0
6415 Johanne Ct,1993,28,2994,4,3.0
8909 Mount Bartlett Dr,1984,37,2010,4,3.0
8910 Mount Bartlett Dr,1993,28,2142,4,3.0
7801 Ginkgo Cv,1991,30,2925,4,3.0
8907 Mount Bartlett Dr,1984,37,2142,3,2.0
6414 Johanne Ct,1994,27,2520,3,3.0
8906 Mariscal Canyon Dr,1987,34,1812,3,2.0
9304 Prince William,1998,23,4407,4,5.0
6302 Lost Horizon Dr,1981,40,3992,4,4.0
6905 Jester Blvd,1982,39,3667,5,4.0
9104 Country Canyon Cv,1980,41,2324,3,3.0
5307 Doe Valley Ln,1979,42,2066,3,2.0
7705 Waldon Dr,1994,27,2454,3,3.0
5308 Doe Valley Ln,1980,41,2429,3,3.0
8434 Antero Dr,1972,49,1678,3,3.0
7304 Bandera Ranch Trl #B,2012,9,2518,4,4.0
9017 Spicebrush Dr,1994,27,2606,4,3.0
6801 Jester Blvd,1982,39,3049,4,3.0
5601 Spurflower Dr,1998,23,2610,3,3.0
8408 Appalachian Dr,1976,45,2392,4,3.0
9213 Spicebrush Dr,1992,29,2338,3,3.0
5677 Rain Creek Pkwy,1984,37,2665,4,3.0
9208 Bell Mountain Dr,1985,36,4377,4,4.0
6002 Satsuma Cv,1993,28,2588,3,3.0
7609 Waldon Dr,1993,28,3063,4,3.0
7009 Quill Leaf Cv,1984,37,2935,4,3.0
8506 Appalachian Dr,1973,48,2239,4,3.0
2108 Rivina Dr,1999,22,3695,5,4.0
6000 Satsuma Cv,1990,31,1918,3,2.0
8502 Andreas Cv,1973,48,2441,3,2.0
9008 Bell Mountain Dr,1997,24,4428,5,5.0
9206 Yucca Mountain Rd,1980,41,3519,4,3.0
9004 Bell Mountain Dr,1997,24,3430,3,3.5
9101 Spicebrush Dr,1994,27,2422,3,2.0
4205 Prince Andrew Ln,2006,15,3850,5,4.0
12205 Labrador Bay Ct,2012,9,4016,5,5.0
5711 Rain Creek Pkwy,1981,40,2937,3,3.0
2415 Bahama Rd,1981,40,1288,3,2.0
9213 Prince Charles,2006,15,4546,5,5.0
8504 Adirondack Cv,1977,44,2004,3,3.0
6817 Jester Wild Dr,2001,20,3362,4,3.0
1829 Carlotta Ln,2009,12,3990,5,4.0
9208 Summerhill Cv,2018,3,2467,3,3.0
7609 Fawnhollow Cv,1988,33,2381,3,3.0
2102 Cliffs Edge Dr,1992,29,4480,5,4.0
7206 Cut Plains Trl,2016,5,2586,3,3.0
5207 Doe Valley Ln,1979,42,1756,3,3.0
10640 Senna Hills Dr,2011,10,3809,0,0.0
8902 Spicebrush Dr,1992,29,2812,4,3.0
6404 Alasan Cv,1996,25,4218,3,4.0
5213 Doe Valley Ln,1979,42,2018,3,3.0
4800 Edgerton Cv,2000,21,4478,4,5.0
6208 Spicebrush Cv,1996,25,2702,4,3.0
9408 Scenic Bluff Dr,1990,31,2934,4,3.0
6207 Spicebrush Cv,1998,23,2688,3,3.0
7713 Basil Dr,1987,34,2770,4,3.0
10513 Indigo Broom Loop,1997,24,3777,4,4.0
7328 Colina Vista Loop #A,2010,11,2429,3,2.5
6203 Spicebrush Cv,1993,28,2417,3,3.0
307 N Cuernavaca Dr APT J,1985,36,1428,3,2.0
7902 Goldenrod Cv,1992,29,2657,4,3.0
9701 Saugus Ln,1968,53,2120,3,2.0
8706 Bell Mountain Dr,1992,29,4649,4,4.0
8910 Spicebrush Dr,1992,29,2127,3,3.0
9608 Bitternut Cv,1990,31,3788,4,3.0
10501 Coreopsis Dr,1996,25,3401,4,4.0
9206 Summerhill Cv,1999,22,3009,4,3.0
520 Horseback Holw,2010,11,4101,4,4.0
9008 Spicebrush Dr,1993,28,3100,4,3.0
1204 Mayan Way,1999,22,3222,4,3.0
11513 Guernsey Dr,1982,39,1398,3,2.0
11117 Bending Bough Trl,1978,43,1500,3,2.0
11102 Bending Bough Trl,1978,43,2100,4,2.0
8708 Oakmountain Cir,1967,54,3014,5,3.0
11106 Bending Bough Trl,1978,43,1500,3,2.0
4509 Smooth Oak Dr #B,1983,38,1520,3,3.0
11500 Swearingen Dr,1981,40,1498,3,2.0
8836 Honeysuckle Trl,1972,49,1664,2,2.0
11200 Bending Bough Trl,1978,43,1470,3,2.0
8832 Honeysuckle Trl,1972,49,1466,2,3.0
1805 Rainy Meadows Dr,1983,38,1384,2,2.0
1605 Jersey Dr,1982,39,1277,3,2.0
8826 Honeysuckle Trl,1972,49,1466,2,3.0
10630 Morado Cir UNIT 10,1999,22,1815,2,2.0
1507 Boffi Cir,1978,43,1842,3,2.0
1602 Cripple Creek Dr,1973,48,1417,3,2.0
12007 Snow Goose Rd,1984,37,1196,3,2.0
10800 Burnwood Dr,1976,45,1673,3,2.0
11927 Bittern Holw,1984,37,2493,4,3.0
11905 Rickem Cv,1985,36,1678,3,3.0
1437 S Meadows Dr,1975,46,1766,4,2.0
10108 Coleus Cv,1999,22,2336,4,2.0
11624 Parkfield Dr,1981,40,1385,3,2.0
8305 Adirondack Trl,1980,41,2544,4,4.0
11626 Parkfield Dr,1981,40,1502,3,2.0
12000 Snow Goose Rd,1984,37,1138,3,2.0
10906 Country Knls,1984,37,2767,4,3.0
11405 Oakwood Dr,1964,57,1851,3,2.0
11801 Tedford St,1958,63,1358,3,2.0
11506 Eubank Dr,1969,52,1909,4,2.0
820 Waterfall Way,2013,8,2433,4,3.0
11301 Oakwood Dr,1968,53,900,4,2.0
11804 Oakwood Dr,1962,59,1580,4,2.0
11708 Hornsby St,1995,26,926,2,1.0
1101 Minda Dr,1969,52,2111,4,2.0
11402 Pollyanna Ave,1964,57,1440,3,3.0
209 Great Circle Cv,2011,10,2599,4,3.0
3900 Belmont Stables Ln,2015,6,2507,4,3.0
4020 Kenter Xing,2014,7,1910,3,3.0
437 Highland Horizon,2009,12,2420,3,2.0
232 Southern Cross Dr,2009,12,3277,4,4.0
15932 Cadoz Dr,2018,3,1905,3,2.0
290 Brentwood Dr,2018,3,3519,4,4.0
13587 Mesa Verde Dr,2013,8,2829,4,4.0
635 Harris Dr,2010,11,2647,3,3.0
676 Mendocino Ln,2016,5,2876,3,3.0
161 Torrington Dr,2005,16,3371,4,4.0
145 Grafton Ln,2005,16,3614,4,4.0
300 Harris Dr,2008,13,2371,3,3.0
314 Seneca Dr,2016,5,3500,4,4.0
121 Galloway Ln,2015,6,2959,4,3.0
642 Naples Ln,2016,5,4408,5,6.0
476 Naples Ln,2013,8,3625,4,3.0
11386 Mesa Verde Dr,2019,2,3309,4,4.0
216 Catalina Ln,2012,9,2776,4,3.0
11505 Glen Falloch Ct,1999,22,1655,3,2.0
11209 Harlyn Bay Rd,2014,7,2068,3,3.0
123 Tabago Ct,2019,2,2903,4,3.0
10704 Charger Way,2020,1,2335,3,3.0
11020 American Mustang Loop,2018,3,2079,3,3.0
11709 American Mustang Loop,2018,3,1849,3,2.0
8308 Roan Ln,1980,41,1429,3,2.0
7800 Bettis Trophy Dr,2014,7,3382,4,3.0
7010 Scenic Brook Dr,1983,38,1946,3,2.0
12002 Jess Dr,1999,22,2978,3,3.0
11005 Cherisse Dr,2008,13,2931,4,4.0
8553 Red Willow Dr,1981,40,1644,3,3.0
13701 Madrone Mountain Way,2007,14,3381,4,4.0
11917 Bryony Dr,2007,14,3198,4,2.75
7700 Crackling Creek Dr,2006,15,3898,4,4.0
7517 Magenta Ln,2006,15,4044,4,4.0
8563 Red Willow Dr,1981,40,1818,4,2.0
7909 Wisteria Valley Dr,2008,13,2843,4,3.0
6905 Halesboro Dr,2018,3,2409,3,3.0
12109 Pepperidge Dr,2009,12,3632,4,4.0
7804 Bettis Trophy Dr,2014,7,4811,4,4.0
8567 Red Willow Dr,1981,40,1974,4,3.0
6909 Grove Crest Dr,1971,50,2123,4,2.0
8208 Alophia Dr,2007,14,2290,3,2.0
7716 Journeyville Dr,2008,13,3294,4,4.0
7628 Menler Dr,2007,14,3582,5,3.0
7805 Haggans Ln,2008,13,4068,4,3.0
7616 Menler Dr,2006,15,2451,3,2.0
12220 Pratolina Dr,2013,8,3670,4,5.0
8815 Towana Trl,2006,15,2785,4,2.0
6413 Magenta Ln,2004,17,3873,5,4.0
7605 Roaring Springs Dr,2005,16,3130,4,3.5
7005 Estana Ln,2013,8,2988,5,3.0
7609 Roaring Springs Dr,2007,14,2839,4,3.0
10635 Signal Hill Vw,1970,51,1152,3,0.0
7600 Menler Dr,2007,14,3145,4,3.0
11225 Rooney Cv,2010,11,4935,4,5.0
7617 Roaring Springs Dr,2006,15,3520,4,4.0
7900 Tusman Dr,2010,11,3335,4,4.0
7108 Stone Ledge Cir,1971,50,1891,3,2.0
11105 Bastogne Loop,2007,14,3788,4,4.0
11216 Bastogne Loop,2008,13,2758,4,3.0
7504 Chelmsford Dr,1981,40,1454,4,2.0
7900 Alophia Dr,2007,14,2852,4,3.0
5612 Fort Benton Dr,2004,17,3186,5,4.0
5420 Fort Benton Dr,2004,17,2522,4,3.0
12101 Cherisse Dr,2010,11,3137,4,4.0
8600 Foggy Mountain Dr,2002,19,2840,4,3.0
7904 Wisteria Valley Dr,2007,14,3520,4,3.0
7107 Stone Ledge Cir,1972,49,1632,3,2.0
12412 Pratolina Dr,2013,8,4518,4,4.0
7333 Covered Bridge Dr,2002,19,2593,4,3.0
11100 Cherisse Dr,2009,12,2162,3,2.0
7537 Bonniebrook Dr,2006,15,3397,5,4.0
12221 Pratolina Dr,2012,9,4794,5,4.0
5908 Terravista Dr,2008,13,2942,5,4.0
8016 Alophia Dr,2008,13,2852,4,3.0
8705 Fenton Dr,2005,16,2866,4,3.0
7904 Crandall Rd,2004,17,4565,5,4.0
11301 Cherisse Dr,2011,10,3047,4,4.0
8713 Fenton Dr,2006,15,2909,4,2.5
8505 Red Willow Dr,1985,36,1500,3,2.0
5613 Terravista Dr,2011,10,3783,4,4.0
5709 Terravista Dr,2005,16,3540,5,3.0
8701 Smoketree Cv,2006,15,4846,5,5.0
8416 Red Willow Dr,1985,36,1500,3,2.0
8313 Roan Ln,1980,41,1433,4,2.0
5608 Terravista Dr,2005,16,3634,4,4.0
2300 Barton Creek Blvd APT 34,1999,22,3443,4,3.0
3801 Verano Dr,2015,6,3967,5,4.0
8413 Roan Ln,1980,41,1711,3,2.0
7625 Journeyville Dr,2006,15,4170,5,4.5
7301 Journeyville Dr,2005,16,2066,3,2.0
7200 Scenic Brook Dr,1972,49,1945,4,2.0
8311 Hanbridge Ln,1980,41,2028,3,2.0
5708 Journeyville Ct,2005,16,2631,3,2.0
6718 Silvermine Dr APT 901,1973,48,1072,2,2.0
5704 Journeyville Ct,2005,16,3137,4,3.0
2005 Stephanne Creek Cv,2005,16,1880,3,2.0
2002 Stephanne Creek Cv,2004,17,2281,4,3.0
8512 Fall Meadow Ln,2004,17,1665,3,3.0
6200 Tara Dr,1982,39,1085,3,2.0
2009 Melissa Oaks Ln,2005,16,1961,4,2.0
8013 Running Water Dr,2004,17,2641,4,3.0
1911 Melissa Oaks Ln,2005,16,2217,3,3.0
9211 Brandts Wood St,2003,18,1611,4,2.0
2002 Melissa Oaks Ln,2005,16,2217,3,3.0
7902 Rosenberry Dr,1998,23,1456,3,2.0
9202 Grant Forest Dr,2004,17,2115,4,3.0
6101 Asa Dr,1983,38,2024,4,6.0
9208 Brandts Wood St,2003,18,1611,4,2.0
6812 Ranchito Dr,2019,2,1512,3,2.0
8084 Thaxton Rd,1995,26,1458,3,2.0
9207 Rowlands Sayle Rd,2005,16,1496,3,3.0
2500 Jenibeth Ln,1995,26,1131,3,2.0
5912 Baythorne Dr,2016,5,1533,3,3.0
9409 Rowlands Sayle Rd,2004,17,1366,2,3.0
9206 Brents Elm Dr,2005,16,1449,3,2.0
8005 Tee Dr,2009,12,1058,3,2.0
2412 Melissa Oaks Ln,2005,16,1845,4,3.0
2317 Melissa Oaks Ln,2005,16,1366,3,3.0
6716 Ondantra Bnd,2016,5,2071,3,2.0
7813 Bixler Dr,1982,39,960,3,2.0
4419 Quicksilver Blvd,1999,22,1211,3,2.0
4415 Quicksilver Blvd,1996,25,1545,3,3.0
2312 Melissa Oaks Ln,2005,16,1845,4,3.0
5701 Baythorne Dr,2018,3,2007,3,3.0
8708 Cattle Baron Path,2016,5,2428,4,3.0
9412 Rowlands Sayle Rd,2005,16,1366,2,3.0
7903 Bixler Dr,1982,39,1328,3,2.0
9408 Rowlands Sayle Rd,2005,16,1845,4,3.0
8813 Cattle Baron Path,2017,4,1800,3,2.0
7812 Bixler Dr,1982,39,1035,3,2.0
9210 Rowlands Sayle Rd,2005,16,1496,1,1.0
4502 Glade Line Dr,1955,66,1094,3,2.0
7425 Marble Ridge Dr,2004,17,1752,4,2.0
8808 Whitter Dr #A,2020,1,1844,3,3.0
7818 Paces Mill Ln,1982,39,1081,3,2.0
1610 Melissa Oaks Ln,2004,17,1880,3,2.0
6425 Marble Creek Loop,2004,17,2234,3,3.0
9202 Brents Elm Dr,2005,16,1449,3,2.0
8317 Panadero Dr,2012,9,1652,3,2.0
6612 Ranchito Dr,2019,2,2466,4,3.0
2204 Narrow Glen Pkwy,2005,16,1961,4,2.0
7108 Encanto Trl,2004,17,1343,3,2.0
9406 Rowlands Sayle Rd,2005,16,1600,2,2.5
9209 Rowlands Sayle Rd,2004,17,1845,4,3.0
6732 Marble Creek Loop,2004,17,2111,3,3.0
2207 Patsy Pkwy,1996,25,1404,3,2.0
8812 Cattle Baron Path,2016,5,2228,4,3.0
2501 Blue Meadow Dr,1996,25,991,2,2.0
8805 Cattle Baron Path,2016,5,1850,3,2.0
4412 Magin Meadow Dr,2003,18,1120,3,2.0
5000 Savorey Ln,1981,40,907,2,1.0
8437 Twiggy Ln,2008,13,1025,3,2.0
2503 Lendall Ln,1994,27,1691,3,2.0
6701 Doyal Dr,2005,16,2068,3,3.0
7206 Thannas Way,2013,8,1436,3,3.0
4601 Lambs Ln,1974,47,1249,3,2.0
7102 Thannas Way,2012,9,1442,3,3.0
6717 Ranchito Dr,2019,2,1461,3,2.0
4403 Patsy Pkwy,1994,27,1508,3,3.0
6708 Ondantra Bnd,2017,4,2755,3,3.0
2411 Magin Meadow Dr,2012,9,1351,4,2.0
7106 Leppke Cv,2011,10,1442,3,3.0
8621 Ipswich Bay Dr,2010,11,1678,3,2.0
7305 Altidore Dr,2015,6,1678,4,2.0
6908 Hyland Cir,1984,37,2022,5,4.0
7406 Poinsetta Ln,1987,34,1309,4,2.0
4417 Silverstone Dr,1986,35,1135,3,2.0
4609 Magin Meadow Dr,2006,15,1552,3,3.5
2016 Charlotte Estates Dr,2005,16,1574,3,2.0
6716 Ranchito Dr,2019,2,1654,3,2.0
9201 Grant Forest Dr,2004,17,2281,4,3.0
6613 May Shower Dr,2019,2,2025,4,2.0
4613 Blue Meadow Dr,2003,18,1426,3,2.0
8094 Thaxton Rd,1998,23,1265,3,2.0
8705 Meridian Oak Ln,1993,28,1750,3,2.0
6908 Broad Brook Dr,2002,19,1079,3,2.0
2007 Outwood Mill Ln,2004,17,1961,4,2.0
8800 Slater Dr,2017,4,1850,3,2.0
2206 Melissa Oaks Ln,2004,17,1845,3,3.0
2010 Narrow Glen Pkwy,2004,17,2217,3,3.0
2205 Voyageurs Ln,2005,16,2166,4,3.0
9321 Brandts Wood St,2004,17,2697,4,3.0
7912 Running Water Dr,2005,16,2780,4,3.0
9409 Brandts Wood St,2004,17,1574,3,2.0
6741 Sabrina Dr,2002,19,1586,3,3.0
6611 Zequiel Dr,1994,27,1506,3,2.0
10009 Wind Cave Trl,2006,15,2094,3,3.0
6709 Sabrina Dr,2002,19,1791,4,2.0
2201 Melissa Oaks Ln,2006,15,1623,3,3.0
9310 Brandts Wood St,2004,17,1611,4,2.0
7601 Knockfin Dr,2017,4,1879,3,2.0
4402 Magin Meadow Dr,2006,15,1445,4,3.0
2415 Melissa Oaks Ln,2006,15,1399,3,3.0
2117 Dry Tortugas Trl,2005,16,2601,4,3.0
6904 Ondantra Bnd,2015,6,1879,3,2.0
9310 Brents Elm Dr,2004,17,1611,4,2.0
8405 Winter Haven Rd,2002,19,867,2,1.0
4706 Borage Dr,1982,39,1015,3,2.0
9306 Brents Elm Dr,2004,17,2697,4,3.0
6701 Piedras Blanco Dr,2002,19,1433,3,2.0
7304 Meadow Lake Blvd,1982,39,977,3,1.0
7416 Branrust Dr,2019,2,2320,4,3.0
9405 Pioneer Forest Dr,2004,17,1655,3,2.0
9303 Brents Elm Dr,2004,17,1919,4,3.0
2136 Dry Tortugas Trl,2006,15,2060,3,3.0
9311 Pioneer Forest Dr,2004,17,2217,3,3.0
4409 Lendall Ln,1999,22,1343,3,2.0
8610 Bluff Springs Rd,1969,52,892,3,1.0
9210 Pioneer Forest Dr,2004,17,1880,3,2.0
5001 Canella Dr,1981,40,1298,3,1.0
7816 Duber Ln,2013,8,1735,4,3.0
9208 Grant Forest Dr,2004,17,1686,3,2.0
8425 Alum Rock Dr,2002,19,1326,3,2.0
2413 Perkins Dr,1969,52,1040,3,2.0
2228 Petrified Forest Dr,2005,16,2601,4,3.0
6416 Piedras Blanco Dr,2004,17,2761,4,3.0
6802 Loire Ct,1983,38,1404,3,2.0
9913 Big Boggy Trl,2005,16,1891,4,3.0
2412 Perkins Dr,1969,52,1566,3,2.0
8521 Alum Rock Dr,2002,19,1102,3,2.0
2224 Dry Tortugas Trl,2005,16,1763,3,2.0
4909 Misty Slope Ln,1980,41,1226,2,2.0
