zpid,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
2087922352,2018,3,2289,3,3.0
29366834,1975,46,596,2,1.0
29465145,1983,38,1554,4,2.0
80090962,2007,14,1704,3,2.0
29374964,1996,25,2852,3,3.0
120896203,2013,8,2505,4,2.5
70341343,2005,16,2088,4,3.0
70338381,2005,16,1206,3,2.0
29362475,1988,33,3119,4,3.0
185217426,2008,13,2191,3,2.0
124843021,2014,7,9866,6,10.0
64533962,2003,18,1160,3,2.0
249710345,2018,3,2420,4,3.0
29459881,1987,34,2094,4,3.0
83814445,2006,15,5027,4,5.0
89552136,2010,11,1096,3,2.0
124154926,2016,5,2425,3,3.0
29396959,1980,41,1320,3,2.0
2087686692,2017,4,1780,4,2.0
89545951,2012,9,7740,6,8.0
29353975,1999,22,4878,5,5.0
29373963,1972,49,2873,4,3.0
79981880,2014,7,1652,3,2.0
251035839,2019,2,2501,4,3.0
96636926,2012,9,2406,3,2.0
29396958,1980,41,1306,3,2.0
83820449,2006,15,4362,4,4.0
29370826,1989,32,1540,3,2.0
29360969,1990,31,2463,3,3.0
29375962,1995,26,2454,3,3.0
243333921,2016,5,1968,3,2.0
145657839,2015,6,1821,3,2.0
29343949,1986,35,1848,2,2.0
29370822,1989,32,2218,3,2.0
69814957,2007,14,3371,4,4.0
29351469,1983,38,1555,3,2.0
29344952,1994,27,2647,4,3.0
29374462,1976,45,2373,4,3.0
145658835,2015,6,1914,3,3.0
70341334,2005,16,2088,4,3.0
29370820,1991,30,1861,3,2.0
29392931,1971,50,1567,4,2.0
79981874,2012,9,1344,3,2.0
29344951,1994,27,2410,4,3.0
29377461,1983,38,3227,5,4.0
29343946,1982,39,704,1,1.0
124154920,2016,5,3329,4,5.0
145658832,2015,6,2068,4,3.0
29370806,2001,20,3304,4,4.0
83816428,2013,8,1670,3,2.0
29343454,1983,38,2665,3,3.0
29334450,2001,20,4021,4,4.0
64901960,2004,17,3559,4,4.0
29360963,1985,36,2357,3,2.5
145658831,2015,6,1982,3,3.0
145657822,2015,6,2047,4,2.0
64918941,2004,17,5307,4,5.0
29370800,2002,19,3976,5,4.0
246905609,2017,4,2100,4,3.0
90240442,2009,12,1943,4,2.0
120895447,2012,9,3689,4,4.0
29375958,1972,49,3650,4,4.0
29358963,1985,36,2498,4,3.0
29341440,1990,31,4771,5,4.0
29344947,1990,31,2929,4,3.0
90240441,2010,11,3348,5,4.0
89553418,2009,12,1746,3,2.0
144334371,1986,35,1589,4,2.0
29396923,2005,16,1190,3,2.0
121655462,2013,8,2299,4,3.0
114405939,2012,9,4380,4,4.0
29344946,1994,27,2066,3,3.0
70338371,2005,16,1704,3,3.0
185217414,2008,13,2960,4,3.0
83821443,2006,15,4500,5,5.0
2108947312,2013,8,1250,2,2.5
29578456,1997,24,2084,3,3.0
89550945,2009,12,4743,5,5.0
58298457,2001,20,5921,5,5.0
29459868,1987,34,1419,3,2.0
305432656,2020,1,1753,3,3.0
83823430,2007,14,3297,4,4.0
29341439,2000,21,4637,4,4.0
83813736,2006,15,1649,3,2.0
251036682,2020,1,2766,4,3.0
29377453,1984,37,2698,4,3.0
58298456,2002,19,4407,4,6.0
64455725,1995,26,2731,3,4.0
124842807,2015,6,1448,3,2.0
248957890,2018,3,1370,3,2.0
114405941,2012,9,4056,4,4.0
29377451,1982,39,3542,4,4.0
83814922,2007,14,4631,5,5.0
58298866,1980,41,1490,3,2.0
111370914,2014,7,1510,3,2.0
29341434,1998,23,4707,5,6.0
29368693,2002,19,4147,4,4.0
79981862,2012,9,1598,3,3.0
145656291,2016,5,2515,4,3.0
29465089,2000,21,2304,4,2.0
83827917,2010,11,3458,4,4.0
241930950,2017,4,3013,4,4.0
58298454,2000,21,4620,5,4.0
70323938,2006,15,5742,4,4.0
2080854860,2015,6,1321,3,3.0
29368684,1987,34,6392,4,6.5
29346937,1965,56,986,2,1.0
29360950,1994,27,2137,3,2.0
145656290,2016,5,2073,3,3.0
29341421,1990,31,4142,4,4.0
29375949,1972,49,2581,4,2.0
145655859,2016,5,1405,3,2.0
83819673,2006,15,2895,3,3.0
29344936,1994,27,2648,4,3.0
29353950,1999,22,3958,4,4.0
249912949,2019,2,2814,4,3.0
29344920,1985,36,7745,7,8.0
89651406,2009,12,1730,3,3.0
2089992289,2018,3,2177,4,3.0
29368449,1985,36,2338,3,2.0
89551588,2013,8,1452,3,2.0
80103408,2008,13,1762,4,2.0
29368659,1991,30,2162,3,3.0
83828934,2007,14,3436,4,3.0
58298947,1984,37,2927,4,4.0
241936636,2017,4,1582,3,2.0
58265948,2002,19,3254,5,3.0
58297915,1999,22,5576,5,7.0
89548573,2009,12,1776,5,3.0
83123896,2007,14,4952,4,4.0
64750934,2020,1,1850,3,2.0
29355947,1962,59,1707,3,2.0
29368658,1987,34,2667,3,3.0
120290135,2013,8,2486,3,3.0
29341415,1999,22,5234,5,5.0
58265946,2002,19,3282,4,3.0
241938280,2016,5,2275,4,3.0
70330433,2020,1,4941,5,0.0
29396905,1980,41,1320,3,2.0
29361022,1968,53,2667,4,3.0
241936634,2016,5,1745,3,2.0
29376446,1991,30,2829,4,3.0
2080460279,2017,4,2519,3,3.0
80093390,2012,9,4219,4,6.0
29343408,1984,37,3693,4,4.0
70330432,2016,5,5800,5,4.0
63835353,2003,18,1650,3,2.0
29396904,1980,41,939,2,1.0
121719897,2015,6,3021,4,3.0
29351445,1985,36,2474,3,3.0
29368642,2004,17,3422,4,4.0
29370446,1984,37,2567,4,4.0
70352485,2007,14,4060,4,5.0
