zpid,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
29428516,1971,50,1646,3,2.0
29425016,1968,53,1374,4,2.0
29430015,1978,43,1277,2,2.0
29423509,1964,57,2000,3,3.0
29422509,1963,58,2182,4,2.0
29425008,1965,56,1711,3,2.0
29422508,1962,59,2052,3,3.0
29422507,1962,59,1680,3,2.0
29425006,1965,56,1600,4,3.0
29422506,1963,58,1480,3,2.0
29422503,1963,58,1556,3,2.0
250825998,2016,5,3401,4,3.0
29586997,1995,26,2849,3,3.0
121722485,2015,6,2381,4,4.0
96640485,2012,9,3281,4,4.0
29547937,1994,27,2069,4,2.0
89654915,2011,10,2665,3,4.0
29586913,1988,33,2407,4,3.0
29586909,1992,29,1948,4,2.0
121721381,2017,4,2386,4,3.0
29586877,1989,32,1502,3,2.0
96639366,2012,9,2662,4,3.0
29575497,1986,35,1667,3,2.0
29575490,1986,35,1767,3,2.0
29376983,1985,36,2277,3,3.0
29375483,1984,37,1335,3,2.0
29375481,1984,37,1188,3,2.0
29375474,1984,37,1693,3,3.0
29445961,1985,36,1248,3,2.0
29575458,1987,34,3054,5,4.0
29364997,1997,24,2571,3,3.0
29595455,1995,26,1658,3,2.0
29371495,1978,43,2554,4,3.0
29364995,1985,36,2512,4,3.0
29595449,1995,26,1327,3,2.0
29445947,1985,36,1368,3,2.0
29369490,1978,43,2212,3,3.0
29371988,1979,42,2288,4,3.0
29443991,1996,25,2065,3,2.0
29369988,1983,38,2003,4,3.0
29557437,1975,46,2595,3,2.0
58304990,1973,48,1336,3,2.0
29369986,1981,40,1806,3,2.0
29377929,1985,36,1733,4,3.0
58305989,1978,43,1595,3,2.0
29369980,1995,26,3319,4,3.0
29575428,1988,33,1724,3,2.5
114406977,2012,9,3121,5,4.0
29443988,1994,27,2037,4,2.0
29364977,1987,34,2475,4,2.0
29441983,1989,32,3302,4,3.0
29376928,1986,35,1524,4,3.0
29371975,1976,45,2163,3,2.0
29557427,1975,46,1445,4,2.0
29377926,1985,36,1628,3,2.0
29371973,1976,45,1711,3,2.0
29376925,1985,36,2029,3,3.0
29377922,1985,36,1801,4,3.0
29443970,1970,51,3388,4,4.0
29369472,1975,46,1985,3,2.0
29376921,1984,37,2326,4,3.0
29364971,1987,34,2337,4,3.0
29575418,1987,34,3454,5,3.0
29439465,1977,44,1502,3,2.0
29366469,1998,23,3419,4,4.0
29443963,1974,47,2470,4,2.0
29371966,1981,40,1903,4,2.0
29582401,1993,28,1779,3,3.0
29369465,1984,37,1799,3,3.0
29443959,1972,49,2363,5,3.0
29371961,1977,44,1400,3,2.0
58304958,1998,23,1168,2,3.0
29582387,1990,31,2210,3,3.0
29369461,1983,38,2420,3,3.0
29439456,1976,45,2113,3,2.0
29447379,1984,37,920,2,1.0
29366461,1992,29,3097,4,3.0
29443954,1972,49,2150,4,2.0
29442040,1971,50,2064,3,2.0
29447369,1985,36,1023,2,2.0
29369456,1974,47,1625,4,2.0
29574863,1986,35,1548,3,3.0
29364955,1987,34,2425,4,2.0
58306947,1971,50,2773,4,3.0
29575362,1986,35,2162,4,3.0
29366453,1994,27,3123,5,3.0
29438446,1979,42,2111,4,3.0
29442437,1983,38,1649,4,2.0
29447351,1984,37,920,2,1.0
29442436,1983,38,1850,4,3.0
29574836,1986,35,1518,3,2.0
29438436,1977,44,2133,4,3.0
70352935,1993,28,1424,2,3.0
29447317,1985,36,778,2,2.0
29371443,1977,44,1923,3,2.0
29445935,1984,37,1215,3,2.0
29371940,1979,42,1965,3,2.0
29447312,1984,37,1089,3,2.0
29367779,1982,39,2509,4,3.0
29438424,1979,42,2016,4,3.0
29377148,1985,36,2264,4,3.0
29369439,1976,45,1507,3,3.0
29445923,1985,36,1397,4,2.0
58305919,1978,43,1548,3,2.0
29364974,1987,34,2546,4,3.0
83827417,2009,12,3579,5,4.0
29369436,1975,46,1558,3,2.0
29574768,1986,35,1551,3,2.0
29442415,1982,39,1632,3,2.0
29591751,1998,23,2415,4,2.0
29366432,1985,36,2630,4,3.0
29591738,1993,28,1983,3,3.0
29369931,1983,38,1738,3,2.0
29442413,1982,39,1908,4,3.0
29591731,1994,27,1609,3,3.0
29438411,1980,41,1711,3,2.0
29369429,1974,47,1962,3,2.0
29373729,1984,37,1326,3,2.0
29445910,1984,37,1288,3,2.0
29369927,1982,39,2170,3,3.0
58305906,1978,43,1890,4,3.0
29371925,2004,17,2155,4,3.0
29377216,1984,37,2259,4,3.0
29591714,1994,27,1874,3,3.0
29442402,1982,39,1613,4,2.0
29373712,1984,37,1128,3,2.0
29373711,1984,37,798,2,1.0
29367923,1982,39,1881,3,2.0
29366421,1991,30,3655,5,5.0
29439400,1975,46,1404,3,2.0
29377210,1984,37,2011,3,2.0
29366420,1992,29,2868,4,3.0
29369917,1979,42,2474,3,2.0
29447205,1985,36,1381,3,2.0
58305893,1979,42,1658,3,2.0
29366416,1992,29,2871,4,3.0
29371915,1983,38,1763,3,2.0
29439391,1975,46,1392,3,2.0
29371913,1983,38,2207,4,3.0
29591691,1994,27,1507,3,3.0
83817902,2010,11,2545,4,3.0
29591686,1994,27,1919,3,3.0
29439384,1973,48,1421,3,2.0
29377180,1984,37,2296,4,3.5
29366410,1985,36,2806,4,3.0
29442382,1982,39,1860,4,2.0
29369909,1980,41,1618,3,2.0
29371376,1960,61,1610,3,2.0
29447175,1985,36,1381,3,2.0
29369409,1975,46,1717,3,2.0
58305875,1980,41,2084,3,2.0
29377169,1984,37,2206,4,3.0
29367908,1984,37,2282,3,2.0
29438373,1982,39,2613,3,4.0
29373906,1992,29,2698,4,3.0
29447165,1985,36,1344,3,2.0
58305870,1978,43,1610,3,2.0
185186664,1986,35,1561,3,2.0
29439369,1973,48,1651,3,2.0
29369906,1980,41,1380,3,2.0
29438363,1979,42,3092,5,4.0
29369903,1980,41,3361,4,4.0
29442355,1982,39,1999,4,3.0
29591661,1994,27,2227,4,3.0
29369401,1974,47,1570,3,2.0
29442352,1982,39,1582,3,2.0
29375661,1997,24,2040,3,3.0
29367900,1984,37,2765,3,3.0
29438351,1975,46,1496,3,2.0
29591656,1994,27,1785,3,2.5
29439343,1972,49,1285,3,2.0
29367899,1984,37,2090,3,2.0
29446296,1980,41,4653,4,4.0
29584654,1988,33,2256,4,3.0
29373895,1986,35,1768,3,3.0
70340190,2008,13,2144,3,3.0
29438334,1977,44,1832,3,2.0
29591651,1994,27,1965,3,3.0
29373893,1986,35,1898,4,2.0
58305829,1980,41,1626,3,2.0
29584648,1989,32,2422,3,3.0
29371391,1980,41,1956,5,0.0
29442328,1983,38,1524,3,2.0
29446134,1992,29,3721,3,3.0
29366391,1993,28,2910,4,3.0
29442319,1983,38,1588,3,2.0
29584642,1988,33,2891,4,3.0
29367889,1978,43,2274,4,3.0
29439313,1975,46,1391,3,2.0
29371799,1975,46,1737,3,2.0
29438312,1978,43,1770,3,2.0
29438308,1978,43,2309,4,3.0
29447127,1985,36,1225,3,2.0
58305078,1972,49,1154,3,2.0
29369384,1974,47,1609,3,2.0
29367306,1984,37,1598,3,2.0
29365383,2001,20,3436,4,3.0
29439480,1977,44,1332,3,2.0
29369882,1980,41,1606,3,2.0
29584613,1988,33,1753,3,2.0
29438301,1975,46,1339,3,2.0
29371881,1976,45,1632,3,2.0
29447102,1985,36,1362,3,2.0
29442297,1982,39,2137,4,2.0
29366379,1993,28,3410,4,4.0
29598597,1996,25,2003,3,3.0
29439295,1978,43,1838,3,2.0
29369378,1974,47,1615,3,2.0
29369877,1980,41,1502,3,2.0
29439294,1977,44,1886,3,2.0
29442293,1982,39,1625,3,2.0
29366375,1992,29,3673,4,4.0
29439292,1974,47,1583,4,2.0
29377078,1985,36,2281,3,3.0
29369373,1974,47,2077,3,2.0
29446068,1985,36,1400,3,2.0
29439288,1974,47,1874,3,2.0
29367367,1995,26,2610,4,3.0
29377058,1985,36,2225,4,3.0
29438281,1974,47,1621,4,2.0
120899363,2012,9,2950,4,4.0
29447499,1985,36,1430,3,2.0
29439279,1975,46,1893,4,2.0
29369860,1980,41,1820,3,2.0
29371857,1977,44,2003,3,2.0
29598552,1996,25,1676,3,3.0
29449497,1982,39,1771,3,2.0
29366357,1990,31,2547,4,2.0
29446049,1984,37,1199,3,2.0
29439274,1976,45,1958,4,2.0
29454496,1999,22,2114,3,2.5
29365357,2001,20,3497,5,4.0
29375549,1984,37,1498,3,3.0
29453994,1995,26,2356,3,3.0
29371853,1980,41,1275,2,3.0
58305904,1979,42,1557,3,2.0
29447494,1985,36,1687,3,2.0
29369853,1980,41,1492,3,2.0
29377041,1984,37,2295,3,3.0
29438264,1982,39,1430,3,2.0
29369846,1978,43,1513,3,2.0
29582540,1992,29,1808,3,3.0
29442257,1982,39,1748,4,3.0
54515255,2001,20,2164,3,3.0
29369343,1983,38,2116,3,3.0
29582535,1992,29,1864,3,3.0
29369840,1978,43,1386,3,2.0
29450985,1994,27,1998,4,3.0
29450984,1994,27,1651,3,2.0
29366339,1983,38,2179,3,2.0
29449483,1983,38,1620,3,2.0
29446033,1984,37,1534,4,2.0
29444240,1984,37,1679,3,2.0
29446032,1984,37,950,2,2.0
29369336,1985,36,2122,4,2.0
29444239,1984,37,1529,3,3.0
29454481,1999,22,1776,3,3.0
29446029,1984,37,1383,3,2.0
29369239,1971,50,2487,4,3.0
29447481,1985,36,1044,2,2.0
29582527,1992,29,1923,3,3.0
29366550,1982,39,2610,4,3.0
114406737,2011,10,1927,3,3.0
29440689,1979,42,1605,4,2.0
29443472,1995,26,2477,4,2.0
29440971,1986,35,998,3,2.0
29445285,1997,24,2905,4,4.0
29444961,1996,25,2885,4,3.0
29445346,1997,24,2697,4,3.0
58307452,2000,21,2225,3,3.0
29445451,1999,22,2173,3,2.0
29441033,1986,35,1300,3,2.0
29444943,1985,36,2413,4,3.0
29443441,1999,22,2804,4,3.0
64842439,2003,18,3158,5,4.0
29443438,2000,21,3088,4,3.0
58307437,2002,19,2225,3,3.0
29445437,2000,21,2308,3,2.0
29442994,1978,43,1211,3,2.0
119621834,2013,8,1886,3,3.0
119621323,2013,8,1692,3,3.0
89656823,2010,11,1886,3,2.0
251032318,2017,4,2578,5,3.0
2088041511,2018,3,2061,4,3.0
89662828,2012,9,3008,4,3.0
29603302,1997,24,2229,3,3.0
2084102799,2019,2,2406,4,3.0
241931284,2016,5,2240,3,3.0
2088690279,2018,3,1876,3,2.0
119619758,2013,8,1977,3,3.0
125903747,2014,7,1819,3,3.0
241931246,2016,5,1838,3,3.0
241931239,2016,5,2072,3,3.0
89660728,2009,12,3114,4,3.0
89657217,2011,10,2716,4,4.0
145657715,2015,6,1844,3,3.0
89657187,2010,11,1886,3,2.0
119619183,2013,8,2240,3,3.0
145654677,2015,6,1819,3,3.0
114406175,2011,10,1900,3,2.5
114406161,2011,10,1888,3,3.0
29455648,1998,23,1714,3,2.0
89659122,2010,11,1886,3,2.0
119615099,2013,8,2120,3,3.0
124719575,2014,7,1953,3,2.5
125903569,2014,7,1819,3,3.0
145653061,2015,6,1819,3,3.0
89662061,2010,11,3480,4,4.0
125916058,2014,7,2058,4,3.0
89661051,2012,9,3353,4,4.0
29487943,1965,56,1715,3,3.0
145656555,2015,6,1980,3,3.0
29500430,1977,44,1560,4,2.0
29468395,1973,48,1597,3,2.0
79982268,2006,15,2425,4,3.0
79982258,2006,15,1723,4,2.0
79982243,2006,15,1445,3,2.0
29465449,2009,12,1160,3,2.0
124840444,2014,7,2185,4,3.0
29464107,2016,5,1818,3,3.0
29465439,1958,63,768,2,1.0
145652938,2015,6,1308,3,2.0
29464938,1983,38,1521,3,2.0
29463437,1952,69,1280,3,2.0
29462372,1970,51,912,3,1.5
29461846,1970,51,1135,4,2.0
80098922,2006,15,1111,3,1.0
2136613421,1970,51,907,1,2.0
29463419,1948,73,1110,2,1.0
80087907,2007,14,2425,4,3.0
29463904,1984,37,1059,2,3.0
124839901,2014,7,2035,3,3.0
29463901,1984,37,1059,2,3.0
241930979,2017,4,1680,4,2.0
29463895,1984,37,1059,2,3.0
79980893,2006,15,2085,4,3.0
29463390,1970,51,1477,3,2.0
29462390,2020,1,1700,4,0.0
29463387,1970,51,2594,6,4.0
79980886,2006,15,1992,4,3.0
305428385,2018,3,1632,2,4.0
29464883,1970,51,936,2,2.0
29464881,1963,58,1995,4,2.0
79980880,2006,15,1324,3,2.0
145658378,2015,6,2035,3,3.0
29464875,1972,49,1784,3,3.0
241937873,2004,17,1516,3,2.0
29463372,1940,81,1008,2,1.0
145656366,2015,6,2035,3,3.0
80099866,2006,15,2160,4,3.0
29461866,1971,50,1710,3,2.0
29463362,1950,71,720,2,1.0
29464861,1955,66,1122,3,2.0
29461861,1971,50,1110,3,2.0
80105359,2010,11,1200,3,2.0
2079734358,2019,2,1049,2,2.0
79982357,2007,14,1699,3,3.0
63837857,2004,17,1817,3,3.0
29461853,1971,50,1435,4,2.0
63228475,2004,17,1817,3,3.0
29461845,1970,51,1135,3,2.0
2093357343,1958,63,1056,3,1.0
251030914,2017,4,1548,3,3.0
80090325,2008,13,1699,3,3.0
250997474,2017,4,2414,4,3.0
2079912816,2020,1,1214,2,3.0
80088313,2008,13,1699,3,3.0
29462974,1984,37,1037,2,2.0
29463310,1970,51,925,3,2.0
29463303,1970,51,1352,4,2.0
120897300,2013,8,2240,4,3.0
145657299,2016,5,2600,5,3.0
79982299,2006,15,1452,3,2.0
79982297,2006,15,2214,4,3.0
70345794,2005,16,1586,3,2.0
29462293,1964,57,1212,3,1.0
70345789,2006,15,2043,4,3.0
79982286,2006,15,1324,3,2.0
70345786,2006,15,1586,3,2.0
29462285,1958,63,1560,4,2.0
29463283,1971,50,925,3,1.0
29463281,1971,50,925,3,1.0
80107778,2007,14,2088,4,3.0
79982271,2006,15,1452,3,2.0
29462271,1984,37,1336,2,2.0
29462269,1984,37,889,2,1.0
80107767,2006,15,2088,4,3.0
70345767,2005,16,2128,4,3.0
29463267,1978,43,1120,3,2.0
29463264,1969,52,978,3,2.0
29463468,1959,62,1042,2,1.0
29462259,1984,37,1234,3,2.0
80097258,2007,14,1699,3,3.0
120895255,2013,8,2240,4,3.0
80089753,2006,15,2322,4,3.0
29462251,1984,37,1162,3,2.0
70345750,2006,15,1586,3,2.0
145657748,2015,6,1844,3,3.0
119628247,2013,8,2402,4,3.0
79982246,2006,15,1334,3,2.0
79977244,2008,13,1597,3,2.0
70345744,2006,15,2088,4,3.0
62607242,1984,37,1059,2,3.0
29462239,1984,37,1096,2,2.0
70345734,2006,15,2088,4,3.0
241930733,2017,4,2507,4,3.0
124845231,2014,7,1850,3,3.0
29462229,1985,36,1257,3,2.0
29462227,1985,36,1121,2,2.5
80093222,2006,15,1856,3,3.0
29463222,1969,52,890,3,1.0
62607221,1984,37,1059,2,3.0
124837220,2014,7,2035,3,3.0
80092714,2006,15,2322,4,3.0
120901705,2010,11,864,2,2.0
69814700,2005,16,1586,3,2.0
120899190,2013,8,2240,4,3.0
29463188,1949,72,600,1,1.0
29462186,1985,36,1258,3,2.0
29463184,1946,75,1144,4,2.0
83819680,2009,12,1305,4,2.0
80099180,2008,13,1699,3,3.0
145658174,2016,5,1363,3,2.0
83813174,2010,11,1560,3,2.0
119623673,2013,8,2240,4,3.0
80086671,2007,14,1659,3,3.0
145658167,2015,6,1308,3,2.0
119619664,2013,8,1220,3,2.0
29463159,1971,50,754,2,1.0
305425655,2018,3,1951,3,3.0
124842155,2014,7,2181,4,3.0
80098151,2008,13,1324,3,2.0
80106645,2006,15,1429,4,2.0
145655642,2020,1,1608,3,3.0
144343622,2013,8,2453,4,3.0
29461905,1946,75,1296,3,1.0
241930616,2017,4,1992,3,3.0
29464967,1982,39,2024,0,0.0
80088612,2009,12,1723,4,2.0
145656110,2017,4,2248,3,3.0
124841110,2014,7,2185,4,3.0
64578606,1946,75,672,2,1.0
2078792099,2020,1,1687,4,3.0
251031858,2017,4,1568,3,3.0
29464097,1952,69,832,2,1.0
29461963,1999,22,1065,3,1.0
80090593,2008,13,1452,3,2.0
2083610083,2017,4,2035,3,3.0
80094083,2007,14,1659,4,3.0
305433080,2018,3,2289,4,3.0
29464079,1965,56,1400,3,2.0
80107076,2007,14,2322,4,3.0
29464076,1962,59,980,3,2.0
2079895574,2017,4,2035,3,3.0
145655572,2015,6,2035,3,3.0
29464069,1962,59,1608,3,2.0
125916067,2020,1,2454,3,4.0
29465457,1958,63,968,3,1.0
29463394,1970,51,884,3,1.0
80100057,2006,15,1699,3,3.0
83814056,2010,11,2537,5,3.0
80108056,2007,14,1992,4,3.0
80102056,2008,13,1324,3,2.0
251032555,2017,4,1884,3,3.0
124843050,2014,7,1898,3,3.0
69809046,2006,15,1586,3,2.0
80098545,2007,14,1586,4,2.0
69809042,2006,15,2088,4,3.0
29463456,1963,58,900,2,0.0
2091380537,2017,4,2035,3,3.0
29464028,1961,60,1566,4,2.0
29463455,1964,57,888,2,1.0
69809024,2006,15,2088,4,3.0
29462023,1971,50,1092,4,2.0
251029954,2017,4,1884,3,3.0
29463454,1963,58,720,2,1.0
69809021,2006,15,2088,4,3.0
145656020,2017,4,1984,4,3.0
80107018,2007,14,1452,3,2.0
69809017,2006,15,1586,4,2.0
29464017,1961,60,858,3,1.0
145656452,2015,6,2185,4,3.0
29463927,1945,76,1155,2,2.0
145657505,2016,5,1982,3,3.0
29465503,1988,33,1920,3,2.0
29463254,1969,52,780,3,1.0
29465500,1989,32,1338,3,2.0
29420959,1979,42,1763,3,3.0
29418454,1979,42,1833,3,2.0
29411939,1966,55,2028,4,2.0
119623829,2014,7,2431,4,2.0
29420936,1978,43,1717,3,2.0
80079828,2005,16,4266,6,4.0
69692496,2005,16,3711,3,4.0
121656402,2013,8,1661,3,2.0
145653413,2015,6,3012,4,3.0
96536821,2009,12,2091,3,2.0
145653412,2015,6,2417,4,3.0
29412925,1977,44,1496,3,3.0
29421894,1994,27,1716,3,2.0
84142319,2007,14,2795,4,3.0
29420922,1978,43,1752,3,3.0
111372408,2013,8,2078,3,3.0
250400315,2019,2,2436,4,3.0
2082306887,2004,17,1848,3,3.0
111373407,2012,9,1938,3,3.0
29413918,1971,50,1618,3,2.0
303836811,2019,2,3343,4,5.0
29412916,1978,43,1694,3,3.0
29421905,1999,22,1791,3,2.0
2085513810,2019,2,2002,3,3.0
29421886,1999,22,2788,4,3.0
29407630,1985,36,1852,4,2.0
29420912,1977,44,1725,4,3.0
29419903,1994,27,1684,3,2.0
70326882,2006,15,1317,3,2.0
2084292310,2019,2,3309,4,4.0
70326997,2017,4,2101,3,3.0
29412906,1978,43,1656,3,3.0
29413905,1971,50,2090,4,2.0
145654878,2015,6,2101,3,3.0
241931993,2016,5,1964,3,3.0
125914877,2019,2,1843,3,3.0
119630805,2012,9,4837,5,6.0
29404876,2001,20,1467,4,3.0
84131803,2007,14,2606,4,2.5
119623485,2013,8,2104,3,3.0
29419875,1994,27,1574,3,3.0
89407793,2006,15,3583,5,4.0
119632873,2013,8,2068,3,3.0
2088737292,2018,3,1913,3,2.0
29419872,1994,27,1684,3,2.0
29419867,1995,26,2361,4,3.0
119622792,2013,8,4480,4,4.0
119629256,2013,8,1778,3,3.0
89404788,2008,13,2505,4,2.0
119629286,2012,9,2959,4,3.0
119624286,2013,8,2695,4,2.0
114157284,2011,10,4010,5,5.0
29404861,2001,20,1335,3,2.0
29421978,2001,20,4021,6,4.0
84140779,2007,14,2066,3,2.0
111371830,2013,8,1665,3,3.0
29421857,2001,20,4031,6,4.0
58301352,1996,25,1430,4,2.0
29421851,2001,20,4051,6,4.0
114157278,2011,10,3464,5,4.0
145652348,2015,6,2587,4,3.0
58301473,1979,42,888,2,1.0
29421848,2001,20,2490,3,3.0
58301471,1979,42,890,3,1.0
29415848,1995,26,1385,3,3.0
84136268,2006,15,3565,3,4.0
29404848,2001,20,1000,3,2.0
84131768,2007,14,3380,4,4.0
29419846,1995,26,2191,3,2.0
29421969,2000,21,2277,4,2.0
119624767,2012,9,3157,4,4.0
58301468,1979,42,890,3,2.0
58301342,1974,47,1459,3,2.0
122141766,2015,6,3832,4,3.0
29404840,2000,21,1809,4,4.0
122188764,2013,8,2829,4,4.0
29419839,1996,25,1784,3,2.0
29421968,2001,20,2318,4,3.0
303840259,2020,1,3068,4,3.0
125805837,2014,7,2386,4,4.0
114157259,2011,10,3245,4,4.0
58301337,1973,48,1548,4,3.0
125089959,2015,6,2898,5,4.0
2091752753,2018,3,3559,5,4.0
58301459,1980,41,1118,3,1.0
119624252,2012,9,2688,3,2.0
29421958,1994,27,1990,3,2.0
114157251,2011,10,3194,4,4.0
29404825,1999,22,1335,3,2.0
114157250,2011,10,2605,3,3.0
29421824,2001,20,4051,6,3.0
122186247,2013,8,2766,3,3.0
29404820,1999,22,1178,3,2.0
58301316,1973,48,1266,3,2.0
250400725,2018,3,2424,3,3.0
29419816,1996,25,2586,4,2.0
111963222,2010,11,3119,5,3.0
114156721,2011,10,3800,5,5.0
29408814,1975,46,1256,4,2.0
84136714,2007,14,2584,4,3.0
111371313,2012,9,2353,3,3.0
70338445,2005,16,1877,3,2.0
89414708,2008,13,2631,3,2.0
29408807,1976,45,1401,3,2.0
243292699,2017,4,4701,5,5.0
29415806,1996,25,1074,2,2.0
303836196,2018,3,2319,3,4.0
58301302,1974,47,1362,4,3.0
250400696,2017,4,2949,4,4.0
121658798,2014,7,1909,4,2.0
119626798,2013,8,2489,3,3.0
89413692,2008,13,3055,5,4.0
84130691,2006,15,2986,4,4.0
250400686,2019,2,2436,3,3.0
250400685,2018,3,2655,4,3.0
29408794,1979,42,1375,3,2.0
243292681,2016,5,2246,3,3.0
29419791,1996,25,2075,3,2.0
119627177,2012,9,2767,3,3.0
121651444,2014,7,2565,4,3.0
29415791,1995,26,1074,2,2.0
243292672,2016,5,3189,5,4.0
250400671,2019,2,2662,4,3.0
29419789,1996,25,2214,4,2.0
2084574169,2019,2,4485,4,5.0
67388669,2004,17,2814,4,3.0
29402781,1973,48,1354,3,2.0
63296780,2004,17,1848,3,2.5
29421779,1995,26,1984,4,3.0
111962666,2010,11,2557,4,3.0
243292662,2016,5,2965,4,3.0
119618943,2013,8,2305,4,3.0
145655272,2015,6,1647,3,2.0
29421770,1994,27,2293,4,3.0
243292661,2016,5,2563,3,2.0
29415770,1995,26,1280,3,2.0
2085050656,2019,2,3068,4,3.0
243292655,2016,5,2796,4,3.0
119620442,2013,8,2389,4,4.0
125255154,2014,7,2674,4,3.0
29421769,1994,27,2446,4,3.0
29410268,1980,41,1393,3,2.0
243292647,2016,5,2786,4,3.0
29410264,1980,41,1380,4,3.0
84131647,2007,14,2647,4,2.0
125903263,2015,6,2305,4,3.0
29410263,1980,41,1210,3,2.0
202190144,2018,3,2838,4,3.0
2089819262,2005,16,2487,4,3.0
67388640,2004,17,3538,5,4.0
70334262,2017,4,2221,3,3.0
84132139,2007,14,2750,4,3.0
29410262,1980,41,1168,3,2.0
70326938,2009,12,896,2,2.0
125252138,2014,7,3651,4,4.0
70334261,2018,3,2221,3,3.0
29410261,1980,41,1215,3,2.0
67388638,2003,18,3206,4,3.0
250400637,2018,3,3066,4,4.0
58301760,1996,25,1273,3,2.0
303836135,2018,3,3250,4,4.0
122186635,2013,8,2884,4,3.0
29421759,1994,27,2132,3,3.0
243293133,2019,2,2942,4,4.0
119632258,2013,8,1342,3,2.0
243292628,2016,5,2647,4,3.0
70334255,2015,6,2093,3,3.0
122186618,2013,8,3512,4,4.0
121656254,2014,7,1665,3,3.0
84132126,2006,15,3838,5,5.0
70334254,2018,3,2049,3,3.0
119556614,2014,7,3524,4,4.0
89415111,2008,13,2584,4,3.0
70334253,2016,5,2222,3,3.0
69686105,2005,16,4381,5,5.0
70338436,2005,16,2250,5,3.0
243294104,2017,4,2437,3,3.0
125234103,2014,7,3144,4,4.0
250400591,2018,3,2437,3,3.0
84139166,2007,14,1963,3,2.0
250400089,2019,2,2916,4,4.0
58301745,1986,35,1430,3,2.0
80086084,2006,15,4247,4,4.0
2078057740,2020,1,2469,3,3.0
202137342,2015,6,3038,4,3.0
84133081,2007,14,3891,5,4.0
145550234,2015,6,2417,4,3.0
29421932,2001,20,2820,4,3.0
202190580,2016,5,3494,4,4.0
145550232,2015,6,2101,3,3.0
243294071,2018,3,2954,4,4.0
29415732,1978,43,1288,2,2.0
114157283,2011,10,3879,4,4.0
70334231,2020,1,2070,3,2.0
29415731,1974,47,1332,2,2.0
119557562,2013,8,2512,4,3.0
96632061,2009,12,3096,4,4.0
145550230,2015,6,2068,3,3.0
243294557,2017,4,2429,3,3.0
29415730,1974,47,1683,3,3.0
119618057,2012,9,4464,5,4.0
70334229,2019,2,2049,3,3.0
84076548,2007,14,2953,4,3.0
29415729,1974,47,1332,2,2.0
80080048,2006,15,2515,3,3.0
84076546,2007,14,3103,5,3.0
202136952,2012,9,3511,5,4.0
70334227,2017,4,2000,3,3.0
70334226,2016,5,2199,3,3.0
299721537,2020,1,3520,4,4.0
80082032,2006,15,3567,4,4.0
29415726,1974,47,1713,3,3.0
62571530,2002,19,3884,4,5.0
70334225,2017,4,2008,3,3.0
111964529,2010,11,3000,3,3.0
29415723,1974,47,1788,3,2.5
111371431,2011,10,1665,3,3.0
84132028,2007,14,2505,3,2.0
121654722,2014,7,1566,3,2.0
202137527,2019,2,3764,5,4.0
111373221,2013,8,1665,3,3.0
29415721,1974,47,2021,4,3.0
299721525,2019,2,3447,4,4.0
202190525,2019,2,2769,4,3.0
202137524,2015,6,3497,4,4.0
121654714,2014,7,1695,4,2.0
70334208,2017,4,2201,3,3.0
84133019,2007,14,3188,4,3.0
70334206,2017,4,2084,3,2.0
70334205,2017,4,2218,3,3.0
202137515,2015,6,3511,4,4.0
121658429,2014,7,2463,4,3.0
145654204,2015,6,2587,4,3.0
84131014,2007,14,3427,4,4.0
70334203,2017,4,2008,3,3.0
125230511,2014,7,2456,3,3.0
70334201,2017,4,2000,3,3.0
125254009,2014,7,2924,4,4.0
122141008,2015,6,3497,4,4.0
111371700,2013,8,2068,3,3.0
119615007,2012,9,3690,4,3.0
70334200,2020,1,2052,3,3.0
89404506,2008,13,3063,5,5.0
111964502,2010,11,2051,3,2.0
121656199,2015,6,2068,3,3.0
70334198,2020,1,2012,3,3.0
84076987,2007,14,1883,3,2.0
28607483,1997,24,3016,4,3.0
29402694,1969,52,1492,3,2.0
67384481,2003,18,2263,3,2.0
70334193,2017,4,2256,3,2.0
28587981,2017,4,3600,2,3.0
29421928,2001,20,2821,4,3.0
29415688,1996,25,1182,3,2.0
80077472,2006,15,2204,3,2.0
28587967,1983,38,2600,3,2.0
2087879680,2018,3,2629,3,3.0
96563965,2008,13,4036,4,4.0
29415678,1996,25,1334,3,2.0
111372174,2012,9,2068,3,3.0
119617947,2013,8,3721,5,4.0
28584946,1985,36,1212,1,2.0
58301671,1974,47,860,3,2.0
119625499,2011,10,2372,4,3.0
28587927,1980,41,3069,3,3.0
2143441667,2003,18,2331,4,3.0
28597926,1999,22,3616,3,3.0
111372667,2013,8,1304,3,2.0
96554925,2009,12,2548,4,3.0
28597925,2001,20,3691,4,4.0
119630422,2012,9,2439,3,3.0
119618162,2013,8,2249,4,3.0
119624420,2013,8,4759,5,4.0
119618672,2013,8,1352,3,2.0
64879918,1984,37,1992,2,2.0
29415660,1995,26,1318,3,2.0
122517414,2013,8,2200,3,2.0
29415659,1995,26,1318,3,2.0
111373658,2013,8,2537,4,3.0
28587911,1977,44,1854,3,2.0
114156910,2011,10,3433,4,4.0
29415652,1965,56,1538,3,2.0
114156908,2010,11,3579,4,4.0
119617150,2014,7,2305,4,3.0
28589407,1979,42,1974,3,2.0
29415648,1978,43,1795,3,3.0
83820405,1994,27,2886,3,3.0
241931145,2016,5,2873,5,3.0
