zpid,latest_saleyear,latestPrice
241936634,2019,274900
29376446,2020,549900
2080460279,2020,399900
80093390,2019,825000
29343408,2019,799000
70330432,2020,325000
63835353,2018,119900
29396904,2019,159000
121719897,2020,550000
29351445,2019,550000
29368642,2020,564900
29370446,2019,525000
70352485,2018,715000
29344931,2018,3175000
29459853,2018,160000
89663390,2018,315000
145654553,2020,285000
29341408,2020,1295000
241936631,2019,254990
29376445,2020,620000
29373139,2018,598000
83124879,2018,495000
70336928,2019,1100000
70338352,2018,215000
88014884,2020,379800
29351440,2018,399000
29370832,2020,540000
29368445,2018,475000
125158378,2019,689000
70338351,2020,207500
29342428,2018,399000
125792770,2019,389900
29355939,2019,685000
29343407,2020,975000
88013884,2018,325000
29368633,2019,280000
29374944,2020,480000
83824877,2018,749900
249891260,2020,405000
29344906,2019,750000
29351438,2019,409000
29342427,2019,457000
29368632,2020,265000
29396897,2018,205000
29372944,2020,622500
83124877,2019,425000
63837777,2020,175000
29461349,2018,175000
70336926,2018,1095000
119984117,2020,300000
58298435,2018,350000
29368631,2018,389900
29343404,2020,1250000
111373376,2020,575000
29376441,2020,510000
145656010,2019,255000
241936613,2018,289500
29342426,2020,420000
29351434,2019,650000
251030758,2020,350000
29368608,2019,474500
89551873,2018,4950000
125792898,2020,1325000
83827393,2018,205000
89551502,2019,215000
29374438,2018,623000
29342422,2018,420000
70331933,2020,1400000
29368601,2020,242200
80104872,2018,395000
58298431,2019,325000
144176918,2019,485000
241936608,2019,309900
29368594,2019,479900
29375933,2019,710000
29357371,2018,1100000
29344897,2018,774000
70336913,2019,899000
64505930,2020,1125000
64737390,2018,269990
88019366,2020,384900
241936607,2020,265000
29374432,2020,619900
29368593,2018,410000
249891254,2020,320000
29357369,2018,1595000
120898908,2018,595000
79981846,2020,209000
29376431,2018,445000
29343397,2018,1215000
29358974,2019,609995
111371886,2018,240000
29368581,2020,475000
79980405,2019,3750000
83124867,2019,574900
29339395,2018,2489000
70992361,2020,212500
80104386,2018,240000
63835340,2018,175000
29357366,2019,1775000
29372930,2020,379950
29368548,2019,549900
67415405,2018,775000
29353930,2018,399000
88019360,2019,379000
29459839,2020,221000
29363429,2019,650000
80104364,2018,681900
249891249,2020,390000
249891101,2019,311250
29368546,2020,475000
63835337,2019,219900
29341393,2018,1940000
29566857,2018,175000
111372714,2021,959000
29376426,2020,489000
29363428,2020,765000
29342404,2019,325000
29368532,2018,419900
251030097,2020,289900
29459837,2020,52500
83815356,2019,1999900
58298927,2018,258000
29396879,2020,412900
29368531,2020,550000
29343391,2019,1350000
70352403,2018,725000
29375925,2020,768000
80104481,2019,865000
2079519189,2020,263990
29363427,2018,550000
70992349,2019,339900
249891244,2020,439900
29341389,2019,1149000
90240400,2018,1095000
249912947,2020,390000
29395366,2020,299000
88023347,2020,470000
251034742,2019,412206
58298426,2019,424900
29348387,2020,3495000
70330400,2018,3500000
251032578,2020,299990
29368530,2018,384900
111372365,2018,239900
111973229,2019,189900
83830838,2020,1399999
70992346,2020,375000
89550899,2020,649900
29344884,2018,3250000
29374423,2020,849000
29368568,2020,559900
241931861,2018,428900
121657728,2018,194973
29358926,2020,915000
249891240,2020,375000
55299492,2019,990000
80104336,2019,365000
70352400,2018,590000
29341382,2018,699000
251030552,2019,300000
29374422,2020,399500
70992345,2018,289000
83818357,2020,257900
29462725,2019,205000
29351423,2020,465900
29461328,2019,214900
29340878,2019,1244000
55299490,2019,149900
70352399,2018,649500
29395357,2019,250000
29462724,2018,195000
29372422,2020,550000
29340875,2018,1290000
29368517,2019,425000
83823333,2018,810000
145657233,2020,349900
55299488,2020,719900
70992340,2020,209495
120900046,2018,249990
70345723,2020,214900
70336899,2020,1045000
83833421,2019,1449000
70335832,2018,475000
29370422,2018,612000
125750185,2020,3950000
70992341,2019,340000
145656729,2020,328000
2077718915,2020,525000
70348219,2020,485000
88023921,2019,452000
29341366,2019,1425000
251033728,2019,429900
70992334,2018,199000
202190487,2020,539000
120897535,2018,249087
80093353,2018,225000
29459824,2019,156485
29346897,2019,612000
29340866,2019,1350000
64543920,2020,730000
202152984,2020,519900
70992331,2019,409000
29368502,2020,329000
111372345,2020,298500
251030534,2020,278000
29351415,2018,1249000
29342397,2018,585900
241938219,2019,355000
29344861,2020,1290000
29368420,2018,337000
29368500,2019,519900
83828324,2018,1649000
80084981,2020,390000
70326844,2020,325000
70348860,2018,1399000
249878946,2019,310990
29351414,2019,1500000
70336895,2020,1295000
70345711,2018,200000
70992322,2019,364900
145658498,2018,410000
145655717,2019,305000
29360913,2018,449000
64696895,2019,1200000
185217321,2018,315000
70345708,2018,127926
29377417,2020,755000
83124822,2020,589000
84138980,2019,495000
83824836,2019,289900
2088560215,2018,385990
29363410,2020,750000
2099325819,2020,514900
70352394,2019,600000
29462708,2018,180000
29344853,2018,847000
83815821,2020,525000
64640832,2018,288500
29461309,2020,204400
55299479,2018,595000
29375915,2019,695000
70336894,2020,1300000
29344851,2019,1275000
29351909,2020,999900
29439010,2020,315000
111371325,2019,240000
28594363,2020,415000
29461308,2019,219500
124843201,2020,350000
60138195,2019,219900
111969317,2020,420000
29370415,2018,449000
120895893,2018,749900
89551842,2020,4995000
80094819,2018,624900
111372822,2020,244000
29471186,2018,250000
29459807,2019,185500
119620477,2020,569000
29372913,2019,665000
70992316,2020,375000
58297966,2019,460000
29351905,2020,1075000
83817317,2020,214900
70352389,2020,395000
29372413,2020,600000
29344839,2020,1600000
119620476,2020,679000
29462690,2020,200000
70992306,2019,295000
29351902,2020,1190000
80106317,2018,225000
29459805,2018,200000
29343832,2020,490000
29375911,2019,594900
55299476,2019,596900
29470178,2020,130000
29464189,2020,122000
29395310,2020,247000
58298400,2018,425000
79981802,2020,169000
29342388,2019,725000
29375910,2018,599999
111372812,2019,685000
145658177,2018,279000
29464187,2018,179900
29344833,2020,1375000
83816303,2020,230000
29353898,2020,855000
80104443,2018,179900
70336887,2018,999000
58300408,2020,714900
29361809,2018,599750
29343331,2019,515000
58298397,2020,459500
89552800,2019,192000
70341938,2019,195000
29565906,2020,339500
96645484,2018,2750000
64744302,2020,1374900
29462679,2020,238000
121656827,2019,1250000
202161475,2020,774999
29353897,2019,649000
80102437,2019,79000
29372406,2019,599900
70330384,2018,2650000
124149797,2019,439000
70345678,2019,209798
124845293,2019,1140000
120896822,2018,750000
29395301,2019,290000
70345937,2019,150000
58298396,2019,475000
58300404,2018,610000
60136380,2019,475000
29342316,2019,3500000
111370793,2019,539000
29469933,2020,200000
80079467,2018,549900
29396799,2020,409000
29363396,2020,755000
251036659,2019,429900
29372402,2018,414995
116080293,2018,329000
120898376,2019,965000
70345672,2018,119900
29344810,2019,1150000
80107289,2018,725000
83833429,2020,199800
29353999,2019,1475000
303835965,2020,680000
29395299,2019,329500
145655653,2018,299900
29376401,2020,439900
83830871,2020,945000
145656091,2020,238000
89548288,2019,349990
29351394,2018,725000
29470429,2020,205000
29385797,2020,230000
111961964,2020,490000
241933147,2020,465000
120896481,2020,675900
29342304,2019,2399000
29358887,2018,715000
70352288,2020,1500000
241934796,2020,575000
83819425,2018,210000
88027789,2018,435000
243293463,2020,589000
70345662,2018,180000
241930792,2020,213000
29372400,2018,549500
70333788,2019,480000
29351383,2018,820000
80087925,2018,189400
89550796,2019,245000
111968786,2018,332900
241933142,2020,415000
70323862,2019,1435000
124837787,2020,1495000
29370399,2020,500000
70352281,2020,1695000
70341923,2019,269000
64634789,2018,295000
89651286,2018,295000
122187957,2020,529444
29462476,2020,202000
60136362,2019,200000
2094867139,2020,325000
29336282,2020,2599000
29370396,2020,399900
83822780,2020,570000
29470419,2019,199900
121656881,2019,365000
64842284,2019,228500
2086373955,2019,568900
70345631,2019,199900
251034137,2020,399990
29368396,2018,819900
145657415,2018,280000
70352278,2020,1985000
114157955,2019,399900
29351381,2019,799999
64578358,2018,645000
125808623,2018,214900
251029914,2019,236900
125887777,2019,575000
119629454,2020,499995
70330356,2018,385000
29351880,2018,769000
125934135,2019,248500
70992278,2019,334400
29342271,2020,3250000
70345913,2018,174900
29374395,2018,699000
29395269,2020,279900
69811276,2020,985000
2098913275,2019,199900
29353878,2018,1235000
250405453,2020,625000
70352355,2020,899000
125090634,2018,250000
29344769,2020,395000
83830909,2020,164900
70352275,2019,999990
83829268,2019,270000
29351378,2019,949997
94882853,2019,349000
250399952,2019,625000
70345600,2019,195000
70992273,2018,375000
70352265,2018,125000
29377392,2019,419900
70345908,2018,187500
83820767,2020,254999
29361760,2020,849000
29338353,2020,775000
114156945,2019,465000
251030597,2019,259000
70352264,2020,1000000
29370392,2019,479999
70341902,2020,249000
125739266,2020,484900
29351873,2020,2499000
64658848,2019,650000
185217270,2019,327000
29462580,2019,186000
58300391,2020,675000
124839095,2020,325000
63712399,2019,169000
63751762,2020,185000
83830766,2019,235000
29342348,2019,749000
29353871,2019,949000
89547757,2019,400000
88021769,2018,299900
83822444,2020,649900
125805573,2019,203000
2084748889,2020,562985
29336264,2019,1695000
29395261,2018,309000
29353870,2019,1173000
241930760,2018,187900
70333753,2020,1400000
29470395,2020,199900
29342345,2019,1140000
88027768,2018,299900
202153443,2020,425000
29353869,2018,759000
29375888,2018,616000
64743260,2020,225000
145653763,2020,1550000
89556257,2018,179000
145656114,2018,249900
29470392,2018,184000
111372751,2020,899000
29351365,2019,799900
83124840,2020,975000
119618443,2020,389900
70337262,2019,969500
83826891,2019,205000
29374385,2018,447450
2079962106,2020,326267
29361751,2018,475000
145653363,2018,440000
83819259,2019,215000
114156943,2020,675000
29375883,2019,680000
83123966,2019,5800
145551605,2018,369723
241937749,2019,204900
83813891,2018,195000
2094300248,2018,850000
243334255,2019,364999
29336839,2020,849000
64916752,2020,275000
29372883,2018,539000
29359361,2019,655000
29344758,2019,2595000
241930604,2019,431000
70345883,2020,215000
29376382,2020,436900
89552498,2019,215000
29343838,2020,799000
83123860,2020,1395000
70337257,2018,999000
145551603,2020,379900
89548938,2018,778000
241937747,2020,209900
70345882,2018,179900
29361742,2020,544900
29462554,2018,174999
83830335,2020,1195000
2090437934,2018,463000
29372882,2018,555000
29342256,2018,2299000
29361741,2019,384000
125803744,2018,225000
2142047553,2019,79900
121720751,2020,925000
29351860,2020,810000
145551602,2019,349000
121655881,2019,425000
70352247,2019,999000
303838934,2020,480000
83123738,2018,225000
58298859,2019,489000
111371244,2020,239900
80096879,2019,200000
83828738,2020,875000
58300380,2018,589900
29336834,2020,900000
145657101,2020,365000
89661246,2018,289900
251032231,2019,239500
202153434,2019,455000
29375880,2020,675000
29395244,2018,295000
70352245,2018,970000
83832236,2018,650000
58298858,2019,510000
83819833,2018,1150000
124720093,2019,410000
125330933,2018,440000
29370379,2020,614990
80095730,2019,212500
29358857,2019,435000
29361735,2018,5500
64434238,2018,198900
70345876,2018,196000
145655592,2020,415000
83124833,2019,590000
70352240,2018,998900
2084748878,2020,590000
29363350,2019,445000
64632734,2018,459900
29395234,2020,250000
89825703,2020,699000
125230931,2019,508900
70323829,2019,1100000
29363349,2020,535000
29354234,2020,699000
111371731,2018,209900
29344738,2019,400000
70341872,2018,194900
88020731,2020,260000
2083228723,2019,204900
29372878,2020,699950
83822733,2018,242023
124719589,2018,369000
70352237,2019,950000
111372723,2018,198500
121722729,2020,599900
70331828,2018,1550000
29390723,2020,620000
70352232,2018,1199000
2090710344,2018,499000
111965924,2020,389000
29470367,2020,191000
120895826,2019,699000
58300374,2019,675000
83831720,2020,230000
29554229,2020,299900
29361730,2018,349000
29342230,2019,1695000
29351336,2018,485000
70341866,2018,185000
2120767423,2020,465000
29376374,2018,450000
70331825,2020,395000
243336223,2019,345000
64425728,2020,1550000
70352228,2018,822500
70342359,2019,205000
114406373,2020,357000
29336824,2019,669000
145653227,2020,979000
29469515,2020,255000
89663718,2020,399000
111372213,2020,319000
58300371,2018,521000
29363331,2019,824900
80075423,2020,596900
29344726,2018,1140000
64488353,2018,199000
251036578,2019,409900
83124823,2018,675000
88016214,2020,214900
70345852,2019,207000
29351824,2020,875000
29342225,2018,1488000
64698200,2020,220000
83817227,2019,433500
29554214,2020,400000
70342345,2019,210000
29334589,2021,1125000
58301197,2018,185300
145657207,2018,209900
111965420,2018,412990
89459969,2019,1349000
80101727,2020,799900
29363323,2019,375000
89657213,2019,329000
145656704,2019,196900
29336820,2019,725000
70345844,2019,198000
28591920,2018,975000
29342221,2020,1995000
64482227,2020,875000
29375867,2020,1125000
58298822,2020,625000
2090138075,2018,309285
70342344,2019,210000
125746319,2019,758822
83829692,2020,265000
242020199,2020,202000
2088160918,2020,619900
29343473,2018,788950
83826719,2019,440000
29368367,2018,650000
119811212,2018,345000
29355996,2018,719900
80098843,2019,199900
83826317,2020,700000
125234417,2020,594900
29375866,2019,650000
83821706,2018,525000
145655493,2019,287800
70348211,2020,915000
70341841,2018,221999
29351820,2020,819500
119621415,2020,925000
29343816,2018,439850
64857865,2018,599900
70352206,2020,1350000
70345835,2018,160000
29336816,2018,750000
89550915,2019,712500
80104819,2019,639500
29374365,2020,590000
249913071,2020,400000
70352478,2018,825000
29470334,2020,219900
29336815,2019,874500
243338197,2020,360000
60135188,2019,204000
29370363,2019,445000
124904977,2018,139990
29470332,2018,170000
83830318,2020,1499900
29342206,2018,879000
29343813,2019,489000
80081913,2019,365000
83828998,2019,219997
89656195,2019,319900
2102202682,2018,187000
70345827,2018,184945
29550362,2019,635000
83124812,2019,895000
29342202,2020,630000
119629407,2018,342000
70352477,2020,800000
29344698,2019,850000
29334477,2020,1295000
29351312,2018,850000
80097164,2018,250000
70352696,2020,574000
303836956,2020,560000
29588860,2019,385000
58297811,2019,997500
63834696,2019,1949000
58298811,2018,439900
120088690,2019,395000
64650811,2019,200000
122188902,2018,459900
60138180,2018,178000
29375859,2019,449000
29336811,2020,679000
29342191,2019,975000
29470310,2019,175000
80101310,2020,1890000
83829191,2020,525000
241933065,2020,345000
2083627357,2020,505780
83124810,2019,1045000
96635187,2019,349900
29344687,2018,998500
62576806,2019,194900
60135174,2020,210010
29363309,2019,769900
83824187,2020,3900000
111719175,2019,350000
83124842,2020,710000
29375856,2019,549900
63351795,2019,183500
122577183,2020,1250000
2089988805,2019,1169000
111719174,2020,400000
29370356,2019,625000
58297810,2018,674900
83821658,2020,169800
29363305,2018,575000
241933063,2020,385000
121724673,2020,624900
89549186,2020,499000
29342183,2020,750000
29346810,2020,322500
83823656,2019,235000
29372855,2018,550000
29363376,2020,475000
60138171,2020,249000
29343809,2019,829000
125232898,2019,615000
89546185,2018,374000
111373149,2019,259000
58298795,2019,550000
29368353,2020,1150000
96587820,2020,450000
29344674,2018,839000
29336809,2019,750000
96642672,2018,399000
29351295,2019,399900
60135169,2018,198700
303840391,2020,950000
125915673,2020,1199000
241930181,2019,1790000
29336807,2019,775000
145658850,2020,450000
306647642,2020,455900
80100763,2020,215000
60135161,2018,189500
70333794,2018,1345000
29566850,2018,299750
241930180,2018,1790000
29343802,2018,285000
63834670,2019,1089500
83817142,2020,249000
64601258,2019,190000
119621889,2019,539900
2089111155,2018,194990
58298794,2019,499500
89549801,2018,1375000
120772669,2020,360000
83824373,2020,750000
111962388,2019,589000
60138154,2019,206900
29374411,2018,499000
241933053,2018,312000
29356288,2020,1199000
80088255,2019,209999
29344668,2020,2700000
120772665,2020,330000
80077386,2020,499996
64812633,2020,294000
29363287,2018,380000
83813675,2018,350000
83828801,2018,1075000
241933052,2019,299000
63834666,2018,1475000
88021164,2018,259900
243293382,2019,517000
70352673,2018,535000
29363284,2018,749900
70326632,2020,323000
58300345,2020,419900
121657157,2020,1400000
121723161,2019,535000
70324280,2018,549000
243292382,2020,1380000
83815370,2018,214990
60138151,2020,210000
29351779,2018,315900
29374345,2019,549000
83818169,2018,765000
241931382,2018,444900
80105149,2018,199900
29336798,2019,675000
29343476,2019,900000
2085531276,2019,1350000
88018155,2020,345000
241930737,2020,249990
29372345,2020,497500
94642166,2018,3500000
251035046,2020,421161
119628882,2018,492900
89548796,2018,570000
111372118,2019,238500
69812646,2019,210099
249889651,2021,949000
29363276,2018,514950
83830666,2018,620000
124719545,2020,299900
60138138,2018,175000
83829118,2020,140000
89658646,2018,304900
83830146,2020,1000000
80084882,2018,562000
80088492,2020,215000
29368345,2019,690000
29351768,2020,699000
70352657,2018,415000
83824117,2018,230000
83830640,2020,2750000
29375843,2018,825000
121720638,2019,490000
29346792,2020,275000
111962880,2018,485000
58298766,2019,499700
29390614,2019,199000
124843624,2018,170000
29344640,2019,750000
80094653,2020,1699000
29374343,2018,560000
83817288,2019,1195000
96632633,2019,374000
80084380,2018,659900
111372610,2020,249900
29351764,2018,600000
29344625,2019,850000
83826716,2019,210000
29375841,2018,750000
63357118,2019,194500
64760786,2018,674990
29363263,2018,675000
58298151,2020,3249500
29374341,2019,575000
241933036,2020,400000
70348711,2019,215000
70344611,2018,142136
29355995,2018,899900
145656536,2019,255000
29368341,2019,719900
79980150,2019,1850000
29346617,2020,995000
89547475,2019,715000
70344601,2019,189000
88026632,2019,307500
83821607,2018,215000
58298762,2020,230000
145655490,2020,312000
29346478,2018,3499000
29376486,2018,266800
58298150,2020,1500000
145658599,2018,178000
70334702,2019,166000
120900784,2018,595000
241931375,2019,599900
111373603,2018,239900
241933033,2020,399900
29351759,2019,450000
29376340,2019,830000
