zpid,zipcode,latitude,longitude
111373431,78660,30.43063163757324,-97.66307830810548
120900430,78660,30.43267250061035,-97.66169738769533
2084491383,78660,30.409748077392567,-97.6397705078125
120901374,78660,30.432111740112305,-97.66165924072266
60134862,78660,30.437368392944336,-97.6568603515625
2080105342,78660,30.437774658203125,-97.65618133544922
241932337,78660,30.414684295654297,-97.64339447021484
60134835,78660,30.43940353393555,-97.65803527832033
60134833,78660,30.439096450805664,-97.657958984375
83827468,78617,30.160701751708984,-97.63812255859376
241932327,78660,30.414934158325195,-97.6432876586914
241930967,78617,30.159337997436523,-97.63335418701172
69808966,78617,30.167768478393555,-97.6234359741211
64520966,78617,30.15428352355957,-97.65058135986328
83813460,78617,30.15972137451172,-97.6362762451172
29470450,78617,30.15768814086914,-97.64641571044922
70341946,78617,30.168758392333984,-97.61647033691406
116080992,78717,30.486408233642567,-97.7947235107422
88013985,78717,30.49437522888184,-97.79651641845705
70344594,78724,30.25570678710937,-97.57695770263672
185217484,78717,30.49563789367676,-97.7978744506836
121719682,78717,30.490257263183604,-97.79174041748048
116080981,78717,30.4887752532959,-97.7948989868164
83822421,78747,30.08774757385254,-97.7052001953125
29462564,78725,30.233154296875,-97.58731842041016
70355992,78725,30.23806571960449,-97.57801818847656
89659978,78717,30.492189407348643,-97.79308319091795
70355990,78725,30.238237380981445,-97.57833099365234
70333917,78726,30.426456451416016,-97.85929107666016
29471292,78747,30.10340118408203,-97.71691131591795
241932966,78744,30.17614555358887,-97.6981430053711
116080975,78717,30.488996505737305,-97.79379272460938
145656987,78725,30.24176788330078,-97.5790557861328
83821490,78747,30.08502960205078,-97.69979095458984
70333915,78726,30.42596435546875,-97.85840606689452
29462467,78725,30.231584548950195,-97.5912628173828
89548387,78725,30.2150993347168,-97.63643646240234
29366912,78732,30.41598701477051,-97.90055847167967
241932964,78744,30.175445556640625,-97.69815826416016
29376494,78726,30.44289970397949,-97.82464599609376
69808963,78725,30.22610282897949,-97.59052276611328
121656950,78747,30.11837577819824,-97.70490264892578
185217474,78717,30.494144439697266,-97.79753112792967
29366911,78732,30.41670608520508,-97.90070343017578
145657963,78744,30.16147994995117,-97.72125244140624
29370494,78750,30.42639350891113,-97.79273223876952
89548844,78725,30.213117599487305,-97.63728332519533
125901465,78725,30.23823547363281,-97.58043670654295
63228462,78725,30.22929382324219,-97.59007263183594
96639474,78729,30.4632568359375,-97.78580474853516
80094409,78732,30.41860008239746,-97.89057159423828
64431038,78747,30.11583137512207,-97.71607208251952
89547842,78725,30.21501922607422,-97.63804626464844
251030464,78724,30.25937271118164,-97.58674621582033
29376491,78726,30.442386627197266,-97.8249969482422
241932962,78744,30.17613220214844,-97.6977310180664
64729016,78719,30.10301971435547,-97.69129943847656
70355962,78725,30.23895072937012,-97.58032989501952
29376490,78726,30.442228317260746,-97.82511138916016
29366907,78732,30.41809463500977,-97.90081787109376
250825472,78717,30.49202919006348,-97.79917907714844
89550834,78725,30.21296501159668,-97.63726806640624
64674953,78725,30.24004554748535,-97.5873565673828
29374483,78750,30.433971405029297,-97.8055191040039
29461422,78725,30.237213134765625,-97.58354949951172
116080970,78717,30.48861694335937,-97.79280853271484
70333905,78726,30.42463111877441,-97.8576889038086
29557482,78729,30.45297622680664,-97.78694915771484
241932948,78744,30.17658805847168,-97.69738006591795
29461406,78725,30.23699188232422,-97.58533477783205
2081704483,78725,30.22005844116211,-97.63460540771484
116080962,78717,30.4880485534668,-97.79401397705078
29376480,78726,30.443117141723643,-97.8240737915039
241932946,78744,30.17620658874512,-97.696533203125
29351492,78731,30.352840423583984,-97.79354858398438
241932900,78725,30.23677062988281,-97.58175659179688
29370900,78726,30.42306327819824,-97.86306762695312
110538990,78750,30.39213752746582,-97.826904296875
29372980,78726,30.43273162841797,-97.8270034790039
29459947,78725,30.24313545227051,-97.58552551269533
241932936,78744,30.17849540710449,-97.69666290283205
89550803,78725,30.21564483642578,-97.63555145263672
29370898,78726,30.42333984375,-97.86441040039062
29358990,78750,30.375999450683604,-97.7984848022461
116080957,78717,30.48835182189941,-97.7944564819336
111373282,78660,30.43100929260254,-97.66204071044922
29375979,78750,30.44328117370605,-97.79827880859376
241932935,78744,30.178211212158203,-97.6968231201172
80115957,78717,30.500444412231445,-97.79090881347656
29370894,78726,30.423627853393555,-97.86334991455078
121658485,78750,30.393047332763672,-97.82636260986328
29375978,78750,30.443683624267567,-97.79793548583984
145654939,78725,30.24139213562012,-97.57658386230467
29370884,78726,30.425716400146484,-97.8606414794922
29351485,78731,30.3537712097168,-97.79362487792967
29372475,78750,30.42850685119629,-97.79425048828124
185218453,78717,30.493675231933604,-97.7860107421875
29392994,78725,30.28166007995605,-97.66173553466795
111371253,78660,30.431062698364247,-97.66221618652344
2088245915,78744,30.16103935241699,-97.71595001220705
29373974,78750,30.435590744018555,-97.78577423095705
29360984,78750,30.38071632385254,-97.78955841064452
241932874,78725,30.236482620239247,-97.58241271972656
145551433,78725,30.2393798828125,-97.57323455810548
29376473,78726,30.44245338439941,-97.82276916503906
305430992,78724,30.29319190979004,-97.6419677734375
251030246,78660,30.41343116760254,-97.6442642211914
29347484,78730,30.35632514953613,-97.83723449707033
69811366,78725,30.23320579528809,-97.5913543701172
116080950,78717,30.48777961730957,-97.7927703857422
29370873,78726,30.423702239990234,-97.86214447021484
83814991,78724,30.283544540405284,-97.62621307373048
29375973,78750,30.438554763793945,-97.7947235107422
116080945,78717,30.48757362365723,-97.7937240600586
29370860,78726,30.424427032470703,-97.86241912841795
249890717,78725,30.21903991699219,-97.6354522705078
2082177903,78744,30.17507362365723,-97.6934585571289
63835425,78724,30.252227783203125,-97.5805206298828
70341361,78725,30.227558135986328,-97.58959197998048
29358983,78750,30.37546539306641,-97.79732513427734
29374973,78726,30.43508529663086,-97.82764434814452
89550707,78725,30.213565826416016,-97.63741302490234
114405230,78660,30.431062698364247,-97.66323852539062
29459909,78725,30.24378967285156,-97.5844955444336
29375972,78750,30.43881416320801,-97.79473876953124
29396983,78724,30.29134750366211,-97.64522552490234
58299481,78750,30.37837791442871,-97.78571319580078
145656393,78744,30.161739349365234,-97.71949768066406
116080940,78717,30.48785781860352,-97.7947006225586
29370850,78726,30.424415588378903,-97.86055755615234
29459907,78725,30.24393081665039,-97.58484649658205
29374967,78726,30.436147689819336,-97.82756805419922
2082038175,78725,30.220149993896484,-97.63470458984376
29358997,78750,30.376209259033203,-97.7973175048828
70341359,78725,30.22736740112305,-97.58971405029295
185217435,78717,30.49654769897461,-97.7974853515625
120898222,78660,30.43280029296875,-97.6619644165039
83823977,78724,30.28300094604492,-97.6276397705078
70352470,78732,30.35407638549805,-97.91303253173828
145551402,78725,30.23840713500977,-97.57384490966795
29355980,78730,30.37429428100586,-97.80758666992188
29465172,78725,30.22450065612793,-97.62870025634766
58300466,78750,30.444562911987305,-97.80654907226562
29438720,78753,30.40708923339844,-97.64974975585938
29459899,78725,30.24452972412109,-97.58594512939452
64812856,78725,30.232646942138672,-97.59120178222656
70352465,78732,30.355552673339844,-97.91254425048828
145655881,78744,30.1763916015625,-97.69696044921876
2079153478,78726,30.399572372436523,-97.84323120117188
29366849,78732,30.415252685546875,-97.88896942138672
185217434,78717,30.49635887145996,-97.797607421875
58265966,78750,30.452693939208984,-97.81514739990234
63835398,78724,30.25343894958496,-97.58031463623048
70352461,78732,30.35622596740723,-97.91169738769533
29396970,78724,30.288440704345703,-97.64766693115234
29438718,78753,30.40733528137207,-97.64958953857422
29370839,78726,30.426279067993164,-97.86062622070312
2132333345,78725,30.23693084716797,-97.5716781616211
29376465,78726,30.44224166870117,-97.82142639160156
29358978,78750,30.37502479553223,-97.79694366455078
121658390,78725,30.23735237121582,-97.57234954833984
89028960,78732,30.341896057128903,-97.90794372558594
80093467,78724,30.27799987792969,-97.63249969482422
250180857,78744,30.15862846374512,-97.71546173095705
29372965,78750,30.431196212768555,-97.81404876708984
185217429,78717,30.49615478515625,-97.79851531982422
89551997,78732,30.351436614990234,-97.9140396118164
29353978,78730,30.36469078063965,-97.83673858642578
2089686965,78724,30.290372848510746,-97.6427764892578
29370836,78726,30.42441177368164,-97.8601531982422
29375964,78750,30.44091606140137,-97.79505920410156
116080928,78717,30.48698425292969,-97.79361724853516
29353976,78730,30.36399841308593,-97.83609008789062
29459882,78725,30.244930267333984,-97.58519744873048
2087922352,78744,30.16120529174805,-97.71661376953124
29366834,78732,30.416173934936523,-97.88702392578124
29465145,78725,30.22534942626953,-97.62696838378906
80090962,78724,30.27394294738769,-97.63169860839844
29374964,78726,30.4356632232666,-97.82742309570312
120896203,78660,30.432939529418945,-97.6622543334961
70341343,78725,30.228349685668945,-97.58968353271484
70338381,78724,30.25310707092285,-97.57906341552734
29362475,78750,30.386159896850582,-97.79894256591795
185217426,78717,30.495710372924805,-97.7973403930664
124843021,78732,30.33895874023437,-97.9269790649414
64533962,78724,30.29021453857422,-97.64751434326172
249710345,78744,30.15879249572754,-97.71443939208984
29459881,78725,30.24505043029785,-97.58512115478516
83814445,78726,30.428436279296875,-97.85681915283205
89552136,78725,30.214155197143555,-97.63653564453124
124154926,78717,30.486351013183604,-97.78875732421876
29396959,78724,30.28887176513672,-97.64627838134766
2087686692,78660,30.41032409667969,-97.64022064208984
89545951,78732,30.37109184265137,-97.91260528564452
29353975,78730,30.36372184753418,-97.83583068847656
29373963,78750,30.435476303100582,-97.78872680664062
79981880,78725,30.23963165283203,-97.5785903930664
251035839,78744,30.1521110534668,-97.71968841552734
96636926,78729,30.46333312988281,-97.78795623779295
29396958,78724,30.28889465332031,-97.64612579345705
83820449,78732,30.37158966064453,-97.90799713134766
29370826,78726,30.42425537109375,-97.8611068725586
29360969,78750,30.37984085083008,-97.79019927978516
29375962,78750,30.44031524658203,-97.79513549804688
243333921,78717,30.49216270446777,-97.79757690429688
145657839,78744,30.176950454711925,-97.69762420654295
29343949,78732,30.331302642822266,-97.92613983154295
29370822,78726,30.423587799072266,-97.86082458496094
69814957,78730,30.34108924865723,-97.8251953125
29351469,78731,30.35490226745605,-97.79246520996094
29344952,78733,30.33530044555664,-97.85971069335938
29374462,78750,30.434844970703125,-97.8052978515625
